warehouse_id,warehouse_name,city,state,warehouse_type,capacity,internal_note
27,WH-00027,New York,New York,Cross Dock,27649,INT-1HYXW7P
28,WH-00028,New York,New York,Fulfillment Center,80081,INT-VKX1MY7
29,WH-00029,Chicago,Illinois,Cross Dock,12822,INT-2R7CNFJ
30,WH-00030,Charlotte,North Carolina,Cross Dock,35256,INT-TM8BA1U
31,WH-00031,Detroit,Michigan,Cross Dock,90772,INT-R7LI5TB
32,WH-00032,New York,New York,Fulfillment Center,56215,INT-A0WE21W
33,WH-00033,Boston,Massachusetts,Fulfillment Center,77313,INT-PYN7VY7
34,WH-00034,LOS ANGELES,Unknown,Distribution Center,74847,INT-NX1ED5K
35,WH-00035,Portland,Oregon,Fulfillment Center,75214,INT-MWNTLPZ
36,WH-00036,Atlanta,Georgia,Regional DC,57442,INT-EOH1LM4
37,WH-00037,Charlotte,North Carolina,Fulfillment Center,10128,INT-OQTJN4R
38,WH-00038,Atlanta,Georgia,Distribution Center,98527,INT-VDKI1UT
39,WH-00039,Houston,Texas,Cross Dock,64692,INT-ACGLT5I
40,WH-00040,Chicago,Illinois,Fulfillment Center,41023,INT-ATOQ7VV
41,WH-00041,Houston,Texas,Cross Dock,97576,INT-TH9KL9O
42,WH-00042,Denver,Colorado,Distribution Center,77025,INT-WNBJ919
43,WH-00043,Miami,Florida,Distribution Center,50675,INT-S1T96RY
44,WH-00044,Chicago,Illinois,Cross Dock,6535,INT-6J07BJC
45,WH-00045,Dallas,Texas,Cross Dock,56143,INT-7ZAD0WJ
46,WH-00046,Houston,Texas,Fulfillment Center,45304,INT-B3M4KS4
47,WH-00047,New York,New York,Cross Dock,58761,INT-7H8QQSI
48,WH-00048,Dallas,Texas,Fulfillment Center,97501,INT-2O1F0RS
49,WH-00049,New York,New York,Fulfillment Center,80601,INT-2VPASPM
50,WH-00050,Detroit,Michigan,Fulfillment Center,28023,INT-WXY7E7B
51,WH-00051,Boston,Massachusetts,Distribution Center,15249,INT-BDGEWN6
52,WH-00052,Austin,Texas,Regional DC,30979,INT-SB0I5BE
53,WH-00053,Dallas,Texas,Cross Dock,66178,INT-378HN43
54,WH-00054,Denver,Colorado,Regional DC,15655,INT-RBIJNM2
55,WH-00055,Austin,Texas,Cross Dock,77099,INT-K1FVLMJ
56,WH-00056,New York,New York,Fulfillment Center,32479,INT-DYXXPV2
57,WH-00057,New York,New York,Distribution Center,56263,INT-EDP7X6B
58,WH-00058,Austin,Texas,Regional DC,16355,INT-0HC2YAB
59,WH-00059,Seattle,Washington,Cross Dock,90531,INT-5VX369F
60,WH-00060,Phoenix,Arizona,Distribution Center,94956,INT-O7F0WL0
61,WH-00061,Los Angeles,California,Cross Dock,35088,INT-ED3OBDK
62,WH-00062,Houston,Texas,Fulfillment Center,86375,INT-BZCKZ02
63,WH-00063,Houston,Texas,Fulfillment Center,27295,INT-L1CJGHQ
64,WH-00064,New York,New York,Distribution Center,85742,INT-LDIS6UA
65,WH-00065,Seattle,Washington,Cross Dock,62021,INT-PPTWOWU
66,WH-00066,Miami,Florida,Fulfillment Center,5000000,INT-BP4OW02
67,WH-00067,Seattle,Washington,Fulfillment Center,62058,INT-O0O4533
68,WH-00068,Charlotte,North Carolina,Fulfillment Center,19908,INT-32GSQWC
69,WH-00069,Atlanta,Georgia,Cross Dock,10406,INT-W46S4U1
70,WH-00070,Portland,Oregon,Fulfillment Center,5180,INT-6SCCZV4
71,WH-00071,Chicago,Illinois,Fulfillment Center,50011,INT-9RDYC23
72,WH-00072,Seattle,Washington,Cross Dock,86188,INT-6N3K0DM
73,WH-00073,Seattle,Washington,Fulfillment Center,59925,INT-53DQ49Q
74,WH-00074,Chicago,Illinois,Regional DC,93343,INT-GVLCAOB
75,WH-00075,Denver,Colorado,Regional DC,82414,INT-00SW5LV
76,WH-00076,Chicago,Illinois,Fulfillment Center,94375,INT-HOH1QNK
77,WH-00077,Chicago,Illinois,Cross Dock,59114,INT-5PAQ1ZM
78,WH-00078,Denver,Colorado,Distribution Center,72880,INT-TG5ICW9
79,WH-00079,Houston,Texas,Fulfillment Center,77198,INT-PG9YXBH
80,WH-00080,Miami,Florida,Regional DC,24747,INT-VRNENUG
81,WH-00081,Denver,Colorado,Regional DC,50444,INT-A7E0C29
82,WH-00082,Phoenix,Arizona,Fulfillment Center,6664,INT-89MTF2W
83,WH-00083,Atlanta,Georgia,Regional DC,68408,INT-SNHQYCI
84,WH-00084,Phoenix,Arizona,Cross Dock,44458,INT-R5OGKBR
85,WH-00085,Atlanta,Georgia,Distribution Center,79658,INT-OXVLYFX
86,WH-00086,Seattle,Washington,Distribution Center,43602,INT-14RDXAC
87,WH-00087,Houston,Texas,Distribution Center,95880,INT-2NZSVA7
88,WH-00088,Atlanta,Georgia,Cross Dock,19245,INT-CU5QXDG
89,WH-00089,Dallas,Texas,Cross Dock,81768,INT-BWAQYF9
90,WH-00090,Boston,Massachusetts,Fulfillment Center,39006,INT-1ZUNVZN
91,WH-00091,New York,New York,Cross Dock,19052,INT-7J79B6M
92,WH-00092,Detroit,Michigan,Fulfillment Center,29243,INT-1J2D6V9
93,WH-00093,Atlanta,Georgia,Distribution Center,97327,INT-ODCO7H7
94,WH-00094,Denver,Colorado,Fulfillment Center,15395,INT-MLBZXS3
95,WH-00095,New York,New York,Regional DC,37865,INT-YFB5JSK
96,WH-00096,Austin,Texas,Cross Dock,27641,INT-PY6DN03
97,WH-00097,Detroit,Michigan,Fulfillment Center,80771,INT-OYU4GCG
98,WH-00098,Dallas,Texas,Cross Dock,85576,INT-QQT4EEO
99,WH-00099,Miami,Florida,Fulfillment Center,84977,INT-HHE3SY4
100,WH-00100,Dallas,Texas,Fulfillment Center,87348,INT-SI55GXH
101,WH-00101,Denver,Colorado,Distribution Center,65032,INT-25TLCAJ
102,WH-00102,Austin,Texas,Regional DC,47701,INT-97YSB7R
103,WH-00103,Phoenix,Arizona,Fulfillment Center,52317,INT-PI56WVE
104,WH-00104,Los Angeles,California,Cross Dock,32386,INT-OF7GGSY
105,WH-00105,Dallas,Texas,Cross Dock,47933,INT-EK59IZ2
106,WH-00106,Detroit,Michigan,Fulfillment Center,21200,INT-ABDUH7I
107,WH-00107,Atlanta,Georgia,Regional DC,83317,INT-E6IJKHD
108,WH-00108,,Unknown,Distribution Center,16638,INT-Q4MX6LU
109,WH-00109,Atlanta,Georgia,Distribution Center,21574,INT-LKJT5XO
110,WH-00110,Denver,Colorado,Cross Dock,48638,INT-PL0RR2H
111,WH-00111,Dallas,Texas,Fulfillment Center,99171,INT-SUUJ78V
112,WH-00112,Dallas,Texas,Fulfillment Center,33585,INT-GDVZVRW
113,WH-00113,Charlotte,North Carolina,Cross Dock,8526,INT-H62QZTX
114,WH-00114,Austin,Texas,Fulfillment Center,43659,INT-C8YBJ73
115,WH-00115,New York,New York,Fulfillment Center,39364,INT-2PP2FWK
116,WH-00116,Detroit,Michigan,Regional DC,51489,INT-77GCPEI
117,WH-00117,Miami,Florida,Regional DC,80092,INT-UGBMUFN
118,WH-00118,Los Angeles,California,Cross Dock,87130,INT-33MBP8M
119,WH-00119,Miami,Florida,Regional DC,56105,INT-A442JM6
120,WH-00120,New York,New York,Fulfillment Center,60275,INT-47D3554
121,WH-00121,Phoenix,Arizona,Distribution Center,9632,INT-AJL0SDR
122,WH-00122,Detroit,Michigan,Fulfillment Center,18157,INT-MFATBL0
123,WH-00123,Charlotte,North Carolina,Fulfillment Center,40266,INT-64YGG17
124,WH-00124,Seattle,Washington,Regional DC,25344,INT-WU3YISR
125,WH-00125,Boston,Massachusetts,Fulfillment Center,46870,INT-QWXKL91
126,WH-00126,Miami,Florida,Fulfillment Center,47951,INT-YLG2LS5
127,WH-00127,Boston,Massachusetts,Fulfillment Center,72086,INT-HR4QAE1
128,WH-00128,Denver,Colorado,Cross Dock,88563,INT-YCS24M9
129,WH-00129,Boston,Massachusetts,Cross Dock,57518,INT-11KO3L0
130,WH-00130,Charlotte,North Carolina,Cross Dock,51675,INT-E4LU2XX
131,WH-00131,Los Angeles,California,Regional DC,76174,INT-65ZLLMU
132,WH-00132,Portland,Oregon,Distribution Center,89577,INT-QB7QYE9
133,WH-00133,Austin,Texas,Fulfillment Center,34169,INT-MLMFJKY
134,WH-00134,Portland,Oregon,Cross Dock,8943,INT-OG0M7OK
135,WH-00135,Houston,Texas,Cross Dock,60857,INT-1HFNZ99
136,WH-00136,Portland,Oregon,Fulfillment Center,86167,INT-4TRL83A
137,WH-00137,Chicago,Illinois,Fulfillment Center,30286,INT-769KR3I
138,WH-00138,Miami,Florida,Regional DC,33413,INT-EFN0ARC
139,WH-00139,Phoenix,Arizona,Distribution Center,74332,INT-9EIGIKC
140,WH-00140,Boston,Massachusetts,Distribution Center,57285,INT-TPG2HRL
141,WH-00141,Los Angeles,California,Fulfillment Center,83668,INT-5SO06HO
142,WH-00142,,Unknown,Cross Dock,71231,INT-NF7173T
143,WH-00143,Seattle,Washington,Fulfillment Center,37197,INT-FAP6H05
144,WH-00144,Dallas,Texas,Regional DC,87450,INT-6Y02P43
145,WH-00145,Boston,Massachusetts,Regional DC,14516,INT-4XLVO2Y
146,WH-00146,Detroit,Michigan,Fulfillment Center,98927,INT-6M6DOZY
147,WH-00147,Portland,Oregon,Cross Dock,70241,INT-K1378DC
148,WH-00148,Portland,Oregon,Regional DC,20965,INT-1ABXXGS
149,WH-00149,Seattle,Washington,Distribution Center,51623,INT-ZUDM0LL
150,WH-00150,Austin,Texas,Cross Dock,30187,INT-IX7TUR4
151,WH-00151,New York,New York,Fulfillment Center,78033,INT-UPYHKKQ
152,WH-00152,Dallas,Texas,Cross Dock,45866,INT-4Z84BMB
153,WH-00153,Houston,Texas,Distribution Center,68367,INT-SR25VQC
154,WH-00154,Houston,Texas,Distribution Center,65096,INT-78421EQ
155,WH-00155,New York,New York,Regional DC,32019,INT-23WKOAJ
156,WH-00156,Austin,Texas,Fulfillment Center,62628,INT-Y46X1KE
157,WH-00157,Denver,Colorado,Distribution Center,57137,INT-EXZH1W2
158,WH-00158,Austin,Texas,Regional DC,11284,INT-K2QC1ZZ
159,WH-00159,Atlanta,Georgia,Regional DC,15502,INT-0Z1D1IT
160,WH-00160,Atlanta,Georgia,Regional DC,94575,INT-D63XREE
161,WH-00161,New York,New York,Fulfillment Center,30148,INT-480I49B
162,WH-00162,Boston,Massachusetts,Fulfillment Center,29066,INT-G7JO453
163,WH-00163,Austin,Texas,Regional DC,20855,INT-AW1BXHE
164,WH-00164,New York,New York,Fulfillment Center,36306,INT-9UDYCJ3
165,WH-00165,Austin,Texas,Cross Dock,25710,INT-9CTF7K5
166,WH-00166,New York,New York,Fulfillment Center,14278,INT-5WLWSSH
167,WH-00167,Detroit,Michigan,Cross Dock,23481,INT-ESNB42N
168,WH-00168,Portland,Oregon,Fulfillment Center,81364,INT-Z8M57R4
169,WH-00169,Phoenix,Arizona,Distribution Center,51486,INT-E4JG20Z
170,WH-00170,Atlanta,Georgia,Cross Dock,26157,INT-A5YALGI
171,WH-00171,Los Angeles,California,Distribution Center,13900,INT-1G6MR8F
172,WH-00172,Phoenix,Arizona,Distribution Center,32114,INT-FZY7VPH
173,WH-00173,Boston,Massachusetts,Distribution Center,64198,INT-JUJV7NC
174,WH-00174,,Unknown,Cross Dock,24182,INT-ZUN0FY8
175,WH-00175,,Unknown,Fulfillment Center,61508,INT-9HHO99F
176,WH-00176,Dallas,Texas,Fulfillment Center,31269,INT-ZG9QS18
177,WH-00177,Portland,Oregon,Cross Dock,41240,INT-74O0QV4
178,WH-00178,Boston,Massachusetts,Fulfillment Center,79104,INT-CTXNSCU
179,WH-00179,Boston,Massachusetts,Cross Dock,20171,INT-0HMQ6ET
180,WH-00180,Portland,Oregon,Regional DC,75197,INT-K7I1GIY
181,WH-00181,Boston,Massachusetts,Regional DC,46519,INT-YSM2VIJ
182,WH-00182,Boston,Massachusetts,Distribution Center,28356,INT-BG5AD95
183,WH-00183,Houston,Texas,Distribution Center,66680,INT-VU9PHQR
184,WH-00184,Phoenix,Arizona,Cross Dock,82661,INT-YAPDAXZ
185,WH-00185,Austin,Texas,Regional DC,52732,INT-JKLDDSQ
186,WH-00186,Los Angeles,California,Regional DC,50223,INT-JPV9QEG
187,WH-00187,Los Angeles,California,Cross Dock,90787,INT-E3YF2KT
188,WH-00188,Phoenix,Arizona,Fulfillment Center,56748,INT-C0LZ9CA
189,WH-00189,Boston,Massachusetts,Regional DC,74666,INT-4VTCKVX
190,WH-00190,Boston,Massachusetts,Cross Dock,66893,INT-ZUQLXVU
191,WH-00191,Charlotte,North Carolina,Regional DC,53406,INT-L1PKF8S
192,WH-00192,Austin,Texas,Regional DC,16253,INT-TH9ZA8M
193,WH-00193,Seattle,Washington,Distribution Center,46768,INT-34XELTT
194,WH-00194,Austin,Texas,Regional DC,55370,INT-E07DKLP
195,WH-00195,Denver,Colorado,Regional DC,10061,INT-I1X40RU
196,WH-00196,Los Angeles,California,Cross Dock,26276,INT-L15A8O9
197,WH-00197,Seattle,Washington,Cross Dock,59138,INT-ZPIF7JX
198,WH-00198,Chicago,Illinois,Regional DC,74089,INT-MYVLSBS
199,WH-00199,Austin,Texas,Cross Dock,12480,INT-6EXPUFF
200,WH-00200,Phoenix,Arizona,Fulfillment Center,41950,INT-C5J0BH9
201,WH-00201,Boston,Massachusetts,Cross Dock,42430,INT-KED0EKF
202,WH-00202,Chicago,Illinois,Cross Dock,63046,INT-Y3830UB
203,WH-00203,Phoenix,Arizona,Fulfillment Center,70429,INT-OPLPQOQ
204,WH-00204,Denver,Colorado,Distribution Center,34686,INT-1P380WB
205,WH-00205,Miami,Florida,Distribution Center,43705,INT-SZQJ0MS
206,WH-00206,Portland,Oregon,Fulfillment Center,42635,INT-WH4W2M4
207,WH-00207,Dallas,Texas,Distribution Center,22306,INT-9DOPN71
208,WH-00208,Detroit,Michigan,Fulfillment Center,63675,INT-M8OF689
209,WH-00209,Dallas,Texas,Regional DC,92674,INT-MQ9APEV
210,WH-00210,Seattle,Washington,Fulfillment Center,68902,INT-DR70303
211,WH-00211,Charlotte,North Carolina,Distribution Center,88700,INT-R7HAMS0
212,WH-00212,Atlanta,Georgia,Regional DC,73890,INT-TWKOIDM
213,WH-00213,Los Angeles,California,Regional DC,91110,INT-VATFR2F
214,WH-00214,Dallas,Texas,Distribution Center,22875,INT-08WZNZD
215,WH-00215,Charlotte,North Carolina,Distribution Center,61561,INT-UW1T2K2
216,WH-00216,Seattle,Washington,Fulfillment Center,23705,INT-B3OCQEI
217,WH-00217,Boston,Massachusetts,Fulfillment Center,93309,INT-QS83OHS
218,WH-00218,New York,New York,Regional DC,54833,INT-S6XXIOL
219,WH-00219,Houston,Texas,Regional DC,27875,INT-YZ9FGOX
220,WH-00220,Portland,Oregon,Fulfillment Center,44401,INT-SUHHSGS
221,WH-00221,Denver,Colorado,Fulfillment Center,92359,INT-R4Y9494
222,WH-00222,Austin,Texas,Fulfillment Center,72268,INT-0U29M4X
223,WH-00223,Houston,Texas,Distribution Center,23038,INT-QXWTUJF
224,WH-00224,Portland,Oregon,Regional DC,69624,INT-9TI3CI0
225,WH-00225,Detroit,Michigan,Fulfillment Center,42388,INT-MH7JTS9
226,WH-00226,Miami,Florida,Cross Dock,60856,INT-J5UDYYW
227,WH-00227,Portland,Oregon,Cross Dock,8141,INT-K9FEFS4
228,WH-00228,Portland,Oregon,Fulfillment Center,77676,INT-8QT46VU
229,WH-00229,,Unknown,Fulfillment Center,62439,INT-U8FG7C8
230,WH-00230,Denver,Colorado,Cross Dock,6917,INT-XC6V3UY
231,WH-00231,Phoenix,Arizona,Cross Dock,76466,INT-Q3QR6S0
232,WH-00232,Chicago,Illinois,Regional DC,86673,INT-147CCMF
233,WH-00233,Houston,Texas,Regional DC,81557,INT-IZ6QFT0
234,WH-00234,Chicago,Illinois,Cross Dock,12267,INT-0TY8OHG
235,WH-00235,Los Angeles,California,Distribution Center,45331,INT-65NF2HA
236,WH-00236,Denver,Colorado,Regional DC,57523,INT-BYQNZEP
237,WH-00237,New York,New York,Fulfillment Center,14385,INT-OS9RUI9
238,WH-00238,Austin,Texas,Distribution Center,99546,INT-8LF2HY0
239,WH-00239,Austin,Texas,Cross Dock,5501,INT-2LIF7QB
240,WH-00240,Denver,Colorado,Regional DC,38383,INT-O9VWJDE
241,WH-00241,Los Angeles,California,Cross Dock,18156,INT-MG35SGD
242,WH-00242,Houston,Texas,Regional DC,49704,INT-Y0Z30AZ
243,WH-00243,Atlanta,Georgia,Cross Dock,59847,INT-BAL08ZA
244,WH-00244,Phoenix,Arizona,Regional DC,53791,INT-O0QTDXT
245,WH-00245,Seattle,Washington,Cross Dock,26024,INT-N2L5WBK
246,WH-00246,Houston,Texas,Cross Dock,17486,INT-L5SP1A4
247,WH-00247,Boston,Massachusetts,Fulfillment Center,40871,INT-222HDAF
248,WH-00248,Miami,Florida,Distribution Center,57069,INT-YE2BNRH
249,WH-00249,Seattle,Washington,Regional DC,25833,INT-FXOYY7L
250,WH-00250,Seattle,Washington,Regional DC,17070,INT-VXGOBQS
251,WH-00251,Portland,Oregon,Distribution Center,93890,INT-90CCZT1
252,WH-00252,Portland,Oregon,Regional DC,20109,INT-MXAXPIS
253,WH-00253,,Unknown,Distribution Center,24846,INT-2RDHHSH
254,WH-00254,Dallas,Texas,Cross Dock,87871,INT-WVL8WJJ
255,WH-00255,Austin,Texas,Regional DC,78532,INT-SRUR5GP
256,WH-00256,Charlotte,North Carolina,Fulfillment Center,35277,INT-1S06EKD
257,WH-00257,Boston,Massachusetts,Fulfillment Center,95959,INT-1WNNTUD
258,WH-00258,Dallas,Texas,Fulfillment Center,18913,INT-IMK0NLY
259,WH-00259,Atlanta,Georgia,Cross Dock,14177,INT-YJ30YEX
260,WH-00260,Chicago,Illinois,Fulfillment Center,93371,INT-B7GCQ5E
261,WH-00261,Denver,Colorado,Cross Dock,57586,INT-3MINHGI
262,WH-00262,Phoenix,Arizona,Distribution Center,78494,INT-DMIDB5E
263,WH-00263,Portland,Oregon,Fulfillment Center,67180,INT-EQII6BL
264,WH-00264,New York,New York,Regional DC,67099,INT-EK4PN30
265,WH-00265,Houston,Texas,Regional DC,91186,INT-AY9DQ5A
266,WH-00266,Los Angeles,California,Distribution Center,79573,INT-GFZ93BX
267,WH-00267,Portland,Oregon,Regional DC,39433,INT-78QF7Z7
268,WH-00268,Detroit,Michigan,Cross Dock,62776,INT-IEBPH58
269,WH-00269,Boston,Massachusetts,Cross Dock,24560,INT-2L5EGXU
270,WH-00270,Miami,Florida,Distribution Center,44297,INT-9TIKGKO
271,WH-00271,New York,New York,Cross Dock,15076,INT-BYBS67B
272,WH-00272,Houston,Texas,Regional DC,37613,INT-0CLJR5H
273,WH-00273,Chicago,Illinois,Regional DC,5194,INT-46MPEFC
274,WH-00274,Seattle,Washington,Cross Dock,26081,INT-4DKPELZ
275,WH-00275,Denver,Colorado,Distribution Center,63981,INT-SH4E9CW
276,WH-00276,Detroit,Michigan,Distribution Center,52546,INT-WXN6WOO
277,WH-00277,Houston,Texas,Distribution Center,15792,INT-MYK6BTL
278,WH-00278,,Unknown,Distribution Center,93995,INT-GUP2M08
279,WH-00279,Portland,Oregon,Regional DC,91168,INT-I44KUMQ
280,WH-00280,Los Angeles,California,Fulfillment Center,16821,INT-EA3YEDW
281,WH-00281,Miami,Florida,Distribution Center,46720,INT-WRB0WFI
282,WH-00282,New York,New York,Distribution Center,24316,INT-55TBI6Z
283,WH-00283,Phoenix,Arizona,Fulfillment Center,63011,INT-VZAQL4T
284,WH-00284,Phoenix,Arizona,Fulfillment Center,95166,INT-ITOAEGE
285,WH-00285,Boston,Massachusetts,Distribution Center,17436,INT-EOIGC2W
286,WH-00286,Houston,Texas,Fulfillment Center,40709,INT-S2UAV38
287,WH-00287,Miami,Florida,Cross Dock,23663,INT-PVPGA6H
288,WH-00288,Phoenix,Arizona,Regional DC,93707,INT-E4NIVCL
289,WH-00289,Phoenix,Arizona,Cross Dock,34557,INT-NOQAZBV
290,WH-00290,New York,New York,Distribution Center,75975,INT-XJQPADW
291,WH-00291,Detroit,Michigan,Fulfillment Center,77030,INT-LWL7RQ1
292,WH-00292,Seattle,Washington,Fulfillment Center,76878,INT-I06H5G4
293,WH-00293,Los Angeles,California,Cross Dock,89753,INT-ADFZMIN
294,WH-00294,New York,New York,Distribution Center,52978,INT-U8CB53B
295,WH-00295,New York,New York,Fulfillment Center,63206,INT-SY289NB
296,WH-00296,Phoenix,Arizona,Distribution Center,72940,INT-2EJOFQV
297,WH-00297,Portland,Oregon,Distribution Center,70060,INT-49K8Q0J
298,WH-00298,Phoenix,Arizona,Cross Dock,82178,INT-YUWJZWW
299,WH-00299,Miami,Florida,Cross Dock,45002,INT-8AXRR2B
300,WH-00300,Houston,Texas,Distribution Center,19433,INT-PQ7L826
301,WH-00301,Seattle,Washington,Fulfillment Center,99444,INT-9X8USUS
302,WH-00302,Chicago,Illinois,Regional DC,20285,INT-Y9UETYR
303,WH-00303,Los Angeles,California,Distribution Center,6067,INT-Y4KWGFX
304,WH-00304,New York,New York,Distribution Center,31764,INT-NQQZX0Y
305,WH-00305,Austin,Texas,Fulfillment Center,7562,INT-11TP5MN
306,WH-00306,Austin,Texas,Regional DC,69354,INT-NQERNPL
307,WH-00307,Dallas,Texas,Regional DC,80237,INT-ICKSVIG
308,WH-00308,Seattle,Washington,Fulfillment Center,70797,INT-EVEF6J3
309,WH-00309,Detroit,Michigan,Fulfillment Center,65136,INT-YC37977
310,WH-00310,Portland,Oregon,Regional DC,73514,INT-0IITM09
311,WH-00311,Denver,Colorado,Cross Dock,86203,INT-BL1DJJT
312,WH-00312,Phoenix,Arizona,Cross Dock,27637,INT-LDM08TQ
313,WH-00313,Seattle,Washington,Fulfillment Center,58736,INT-2D19S4E
314,WH-00314,Boston,Massachusetts,Fulfillment Center,72639,INT-ZBHBRXU
315,WH-00315,Chicago,Illinois,Regional DC,55959,INT-TCQ9GTF
316,WH-00316,Portland,Oregon,Fulfillment Center,62204,INT-WPNYGDA
317,WH-00317,Austin,Texas,Cross Dock,94026,INT-48UW3D6
318,WH-00318,Detroit,Michigan,Distribution Center,66264,INT-IQ1DCJG
319,WH-00319,Detroit,Michigan,Cross Dock,79124,INT-ZKY106D
320,WH-00320,Dallas,Texas,Regional DC,17544,INT-YYAGVHE
321,WH-00321,Phoenix,Arizona,Fulfillment Center,60589,INT-GBDHANY
322,WH-00322,Dallas,Texas,Fulfillment Center,95793,INT-KI6IGCS
323,WH-00323,Los Angeles,California,Fulfillment Center,63786,INT-C37NH6V
324,WH-00324,Portland,Oregon,Cross Dock,8612,INT-Q11Z8E5
325,WH-00325,New York,New York,Fulfillment Center,91597,INT-DSVY2BJ
326,WH-00326,Dallas,Texas,Fulfillment Center,81986,INT-NCIWC5C
327,WH-00327,Boston,Massachusetts,Fulfillment Center,32988,INT-XDKJIIO
328,WH-00328,Miami,Florida,Cross Dock,83632,INT-3YAKHOP
329,WH-00329,Charlotte,North Carolina,Distribution Center,48488,INT-4CGCNW5
330,WH-00330,Los Angeles,California,Distribution Center,98769,INT-6MLNFHA
331,WH-00331,Seattle,Washington,Regional DC,29558,INT-YEJZ1P7
332,WH-00332,Miami,Florida,Distribution Center,90781,INT-0JHPE02
333,WH-00333,Dallas,Texas,Cross Dock,5000000,INT-X5SOAEZ
334,WH-00334,Boston,Massachusetts,Fulfillment Center,18014,INT-IMAW0AO
335,WH-00335,Atlanta,Georgia,Fulfillment Center,42526,INT-XNVOONK
336,WH-00336,Miami,Florida,Regional DC,21988,INT-TZAJOHD
337,WH-00337,Dallas,Texas,Regional DC,20723,INT-9D6SG1R
338,WH-00338,New York,New York,Regional DC,81509,INT-IKYCZCS
339,WH-00339,Miami,Florida,Distribution Center,69927,INT-C5QBVT4
340,WH-00340,Denver,Colorado,Cross Dock,89284,INT-SY84AKX
341,WH-00341,New York,New York,Distribution Center,53196,INT-HRQ8FA4
342,WH-00342,Boston,Massachusetts,Regional DC,34084,INT-MCAB07L
343,WH-00343,Los Angeles,California,Distribution Center,96764,INT-WMB6WUF
344,WH-00344,Atlanta,Georgia,Fulfillment Center,60779,INT-GJKJZDB
345,WH-00345,Houston,Texas,Fulfillment Center,10864,INT-MIACCTE
346,WH-00346,Chicago,Illinois,Distribution Center,84154,INT-DMUQ4ZW
347,WH-00347,Charlotte,North Carolina,Distribution Center,30915,INT-QPTE1Y8
348,WH-00348,Phoenix,Arizona,Fulfillment Center,24334,INT-ET9ZD5S
349,WH-00349,Houston,Texas,Cross Dock,70831,INT-9L77DND
350,WH-00350,Los Angeles,California,Cross Dock,79428,INT-BLTGBM7
351,WH-00351,Chicago,Illinois,Distribution Center,71374,INT-C0YAELX
352,WH-00352,Boston,Massachusetts,Fulfillment Center,97918,INT-AHQVAEV
353,WH-00353,Boston,Massachusetts,Fulfillment Center,79544,INT-JH9O6IL
354,WH-00354,Portland,Oregon,Distribution Center,81930,INT-H8AX2CE
355,WH-00355,Atlanta,Georgia,Regional DC,20004,INT-N3CTC0W
356,WH-00356,Austin,Texas,Cross Dock,74947,INT-68IPJBK
357,WH-00357,Dallas,Texas,Cross Dock,41420,INT-SLFEJH5
358,WH-00358,Miami,Florida,Distribution Center,35409,INT-AP0NC4B
359,WH-00359,Denver,Colorado,Distribution Center,80789,INT-PPXZBN2
360,WH-00360,Houston,Texas,Distribution Center,13521,INT-84BLP8G
361,WH-00361,Dallas,Texas,Distribution Center,84322,INT-E905ZPH
362,WH-00362,Phoenix,Arizona,Cross Dock,71889,INT-72Q3HBF
363,WH-00363,Denver,Colorado,Fulfillment Center,11404,INT-3Q4XPXH
