order_id,customer_id,order_date,warehouse_id,order_status,shipment_status,payment_method,shipping_mode,session_id
21,163657,18/02/2025,8174,Delivered,Packed,Credit Card,Same Day,SID-W0FtPvvmdY60
22,223315,28/04/2024,7683,Delivered,In Transit,Net Banking,Next Day,SID-esl31g7UWXZ4
23,236212,01-19-2025,4857,Returned,Returned,Debit Card,Next Day,SID-pdVEiEIny6Gw
24,106366,2024-11-11,8301,Shipped,Packed,Cash on Delivery,Next Day,SID-7Y3qhKkMcBg3
25,216003,13/10/2024,1369,Cancelled,In Transit,Debit Card,Standard,SID-oZ9Of4oXfH3M
26,151198,01-02-2024,3471,Pending,Packed,Net Banking,Standard,SID-WhfaRsAUxquz
27,146054,"May 17, 2024",6742,Shipped,Packed,Credit Card,Same Day,SID-yO9n1Lzk1z41
28,120767,"Oct 15, 2023",5585, Cancelled ,Packed,Wallet,Next Day,SID-dmagWuvZm8dc
29,110162,04-28-2024,5172,Returned,Returned,Debit Card,Next Day,SID-qSnjtQBtJY2R
30,231048,"Mar 12, 2024",4051,Delivered,In Transit,Cash on Delivery,Next Day,SID-DPhNUuhcEtdQ
31,121392,08-22-2024,6326,Shipped,Packed,UPI,Express,SID-21I2MoVjwksI
32,202043,02/09/2023,4763,Pending,Delivered,Cash on Delivery,Next Day,SID-HtXlFp3x7vtB
33,206537,06-01-2025,1548,Pending,In Transit,Cash on Delivery,Standard,SID-n9DiW7DlwyuJ
34,163504,16/09/2024,1710,Delivered,Delivered,Net Banking,Next Day,SID-ON7GrHebY31C
35,187919,18/11/2023,525,Processing,Not Shipped,Credit Card,Express,SID-gNno4ibXKDNf
36,107972,2023-04-05,7618,Shipped,Not Shipped,Debit Card,Same Day,SID-Br1U9OqbPMFW
37,200907,"Apr 28, 2024",2534,Shipped,Delivered,Credit Card,Express,SID-byeDyz20yzAL
38,222072,11-02-2023,5570,Delivered,Not Shipped,Net Banking,Next Day,SID-6I1CoUASfVXj
39,202310,"Jun 24, 2023",2736,Shipped,Not Shipped,UPI,Next Day,SID-zUqmGDNdDzUe
40,160606,09-11-2024,2687,Pending,In Transit,UPI,Express,SID-ZjhvxWnJ6hKo
41,167502,2024-10-21,91,Shipped,Returned,UPI,Next Day,SID-TMI45RaD7NWk
42,237385,04/06/2024,3836,Shipped,Not Shipped,Net Banking,Next Day,SID-NzBVvFxSMaM7
43,177135,2023-06-07,2990, Pending ,Packed,UPI,Next Day,SID-FNMrl92LpiFr
44,159627,"Sep 23, 2023",841,Delivered,Delivered,Credit Card,Express,SID-U7pciQbEo3kC
45,231322,28/05/2024,3114,Shipped,In Transit,Debit Card,Next Day,SID-UWhZjhoU8DRn
46,125723,"Mar 16, 2025",5668,Pending,Not Shipped,Net Banking,Express,SID-th8wkWvNhDIq
47,210126,01-28-2024,8107,Returned,Delivered,Cash on Delivery,Express,SID-Dhats0q85CRW
48,231200,18/08/2023,2159,Cancelled,Delivered,Debit Card,Next Day,SID-dYU40n2teiXl
49,123701,2023-01-10,8609,Returned,Not Shipped,UPI,Next Day,SID-FoRtHSrQCRRm
50,135617,2023-12-14,3581,Returned,Returned,Debit Card,Next Day,SID-lkGMz8jpJJy3
51,160174,2025-03-10,884,Pending,Not Shipped,Net Banking,Same Day,SID-dnkWdxYv9iIE
52,147411,2023-09-26,3913,Processing,In Transit,Net Banking,Same Day,SID-AwplP8vm8QLd
53,152343,2024-11-20,7696,Returned,In Transit,Credit Card,Standard,SID-xGsW7YSYFQXx
54,230390,14/06/2023,2632,Returned,Packed,UPI,Express,SID-LcBiHWzNmwoK
55,134248,26/10/2023,6245,Cancelled,Packed,UPI,Standard,SID-XaMG4Ip1xQto
56,144631,"Jul 04, 2023",5644, Returned ,Not Shipped,Wallet,Express,SID-7JfXaBvezGOd
57,159666,"Aug 22, 2023",9559,Returned,In Transit,Wallet,Same Day,SID-fWxKEe7PxJC6
58,113577,"Feb 24, 2024",2014,Shipped,Delivered,Cash on Delivery,Standard,SID-bm2v63lTkZ7a
59,111786,12/05/2023,8101,Cancelled,Packed,Net Banking,Express,SID-aEai1Oz4p8vh
60,242866,2024-12-09,7390,Delivered,Returned,Cash on Delivery,Next Day,SID-qSNFMNUCSOXf
61,175867,01/09/2023,5638,Processing,Returned,Wallet,Express,SID-GQdzRcr8P3lv
62,244687,"Aug 14, 2024",1326,Pending,Packed,Credit Card,Express,SID-94xoCLUix6o7
63,213206,"Feb 02, 2023",6701,Pending,Returned,Credit Card,Express,SID-h3l01nBfVeiD
64,172494,28/02/2025,5277,Pending,Not Shipped,Credit Card,Same Day,SID-OIbQytnk86wG
65,176212,22/10/2024,4474,Cancelled,In Transit,Credit Card,Express,SID-e4d0xOgDYdGn
66,160969,09-12-2024,6703,Returned,Delivered,Net Banking,Express,SID-iwidy4xXEoe3
67,216274,2025-05-31,8618,Cancelled,Packed,Credit Card,Express,SID-2DRzbQUmv80b
68,174727,09-08-2023,7453,Processing,Returned,UPI,Same Day,SID-2HjypBY5tXL1
69,122917,"Apr 05, 2024",3974,Cancelled,Packed,Net Banking,Next Day,SID-oZiW106Vd5Ve
70,187464,"Mar 15, 2025",993,Shipped,Delivered,Cash on Delivery,Standard,SID-j25V4ldLxhMM
71,226324,2025-01-12,4210,Cancelled,Not Shipped,UPI,Standard,SID-b53VYqkjbWqT
72,224082,19/03/2023,7548,Cancelled,In Transit,Credit Card,Same Day,SID-hgrodLTsp8x0
73,191471,08/09/2023,8088,Shipped,Returned,Cash on Delivery,Standard,SID-jWDePumM6Z8l
74,113438,"Mar 19, 2025",518,Returned,In Transit,Credit Card,Standard,SID-jXGj6P5Gfd3T
75,104750,2023-12-28,3842,Returned,In Transit,Credit Card,Next Day,SID-vMjWsLk7e0rq
76,158613,24/07/2023,6902,Pending,Returned,Net Banking,Standard,SID-geDC8cEl3AR2
77,193995,2024-07-15,6016,Shipped,Not Shipped,Cash on Delivery,Standard,SID-N5jt5wCh0ltG
78,101892,13/01/2023,6999,Cancelled,Packed,UPI,Express,SID-oCu6k5ydoCgj
79,100308,"Oct 28, 2024",2645,Returned,Not Shipped,UPI,Next Day,SID-Xlsu50Qnft2b
80,126180,"Mar 31, 2023",5147,Returned,Not Shipped,Credit Card,Next Day,SID-2xYPOdbtfKrZ
81,136084,03-11-2023,4558,Returned,In Transit,UPI,Express,SID-RNzT2XuWRvcZ
82,241692,08/07/2024,559,Delivered,In Transit,UPI,Next Day,SID-tVHp5LLjKD0e
83,165169,08-08-2024,6851,Cancelled,Delivered,Credit Card,Express,SID-2s1hqbzSBIc2
84,204376,"Jun 04, 2025",335,Processing,Delivered,Wallet,Express,SID-To6kitAQ2H8R
85,152324,2025-02-07,8794, Pending ,Returned,Credit Card,Next Day,SID-7TrGp6LL3cn1
86,115154,"Aug 01, 2024",5908,Pending,Delivered,UPI,Next Day,SID-wlw3T42zVjS4
87,163037,2023-01-14,9085,Pending,Not Shipped,UPI,Express,SID-wZFrv6RyUGtY
88,233802,02-07-2023,436,Delivered,Packed,Cash on Delivery,Same Day,SID-wWF8sPO1Ue0Q
89,240046,"Mar 11, 2024",2494,Returned,Packed,Net Banking,Standard,SID-moywbKdUMWS5
90,156363,"Jun 28, 2023",1437,Pending,Packed,Net Banking,Express,SID-muPKMhJJj40C
91,244467,10/08/2023,1214,Shipped,Returned,Wallet,Express,SID-sFP7jpvDRDY6
92,126064,"Jun 29, 2024",3605,Processing,Not Shipped,Cash on Delivery,Same Day,SID-Zb01DNIZOQwl
93,226442,"Mar 02, 2023",8094,Cancelled,Delivered,Wallet,Standard,SID-2cM65UDyK8yg
94,231817,04-22-2024,1980,Pending,Packed,Net Banking,Next Day,SID-iaqlE2Mv7hu8
95,107212,01-12-2024,681,Processing,Packed,Cash on Delivery,Same Day,SID-i1VnEn61X4pb
96,156869,"Sep 24, 2023",7846,Cancelled,In Transit,Net Banking,Same Day,SID-25zwrIb4AlQK
97,212858,2023-02-08,4671,Pending,Returned,Credit Card,Standard,SID-oABVES88rnD3
98,237710,2023-09-27,6623,Cancelled,Not Shipped,Wallet,Standard,SID-WCi77h2qe5B5
99,201709,2024-05-25,2456,Cancelled,In Transit,Cash on Delivery,Standard,SID-SGCR5rgVpPs6
100,197500,"Jan 18, 2023",1648,Returned,Not Shipped,Debit Card,Express,SID-qCHLlsoZQZPN
101,109801,"Mar 04, 2024",2398,Cancelled,In Transit,UPI,Same Day,SID-WFbAIrhTeYCl
102,238370,2025-05-27,2900,Returned,Delivered,Wallet,Same Day,SID-UhGZ3yuvvxGZ
103,225944,2023-09-30,4956,Processing,Packed,UPI,Standard,SID-5jGFe02zrG4T
104,128415,"Apr 08, 2025",17,Pending,Not Shipped,Wallet,Standard,SID-VgMhUtYpJULt
105,163341,2024-08-13,2379,Processing,Packed,Cash on Delivery,Same Day,SID-jSEzWQPk0DXc
106,118977,26/08/2024,9004,Pending,Not Shipped,Net Banking,Same Day,SID-pFi844nJdFxO
107,213215,"Nov 15, 2023",846,Pending,Packed,Wallet,Same Day,SID-hUatLDKoShvL
108,249599,17/01/2025,8984,Cancelled,Packed,Net Banking,Express,SID-C2bkFIOfK8nG
109,188765,"Mar 09, 2024",9016,Cancelled,Not Shipped,Wallet,Standard,SID-BxwAz2N9GlMs
110,234249,01-06-2024,3535,Cancelled,Not Shipped,Wallet,Same Day,SID-venJ6N5ZNasp
111,155521,"Jun 12, 2024",8882,Shipped,Delivered,UPI,Express,SID-rJLOeDiLrT95
112,194513,09/07/2024,5658,Processing,Returned,Net Banking,Next Day,SID-fFV9aLseV26c
113,107410,07/08/2024,5039,Returned,Delivered,UPI,Next Day,SID-uVpuqezCPx4B
114,135347,01/03/2025,5761,Delivered,Packed,Debit Card,Same Day,SID-fa8Sixqhpttn
115,226179,2024-07-30,6151,Returned,Returned,UPI,Same Day,SID-FtZp0wmrhldV
116,231498,"May 11, 2025",2150,Delivered,In Transit,Credit Card,Next Day,SID-e5YM6op8uVMU
117,170452,2023-02-19,9197,Pending,Packed,Cash on Delivery,Standard,SID-n98Uz3npjTFc
118,107866,03-01-2024,10110,Delivered,Not Shipped,Cash on Delivery,Same Day,SID-hjeOc63hyoaf
119,124412,15/09/2024,319,Cancelled,In Transit,UPI,Same Day,SID-wuUPmIOp0Rmg
120,194807,07/09/2024,6375,Pending,Not Shipped,UPI,Next Day,SID-Yi0aFJKvzLPu
121,158364,05-01-2025,4382,Processing,Delivered,Credit Card,Express,SID-v0JGbayMWiA2
122,181306,01-06-2023,3634,Delivered,Packed,Net Banking,Standard,SID-6mS0tSBndCFY
123,219402,03/03/2023,1472,Pending,Packed,Credit Card,Express,SID-ZMeE8IUIRyEx
124,222659,"May 20, 2024",4456,,Delivered,Net Banking,Express,SID-eZb96LcikFqp
125,224705,23/02/2024,7507,Returned,Delivered,UPI,Same Day,SID-7KAXhoFp4BzF
126,197864,"Oct 23, 2024",5947,Delivered,In Transit,Net Banking,Express,SID-bmefcb5t3NLx
127,141860,06-09-2023,8675,Cancelled,Delivered,Wallet,Standard,SID-nw2wxH57Kt3c
128,126813,10/11/2024,9562,Pending,Not Shipped,Debit Card,Same Day,SID-kqOqrdYPMzol
129,128041,2025-03-13,3767,Cancelled,Packed,UPI,Express,SID-26v6RE7VjiMO
130,133223,17/02/2025,5713,Processing,Returned,Net Banking,Standard,SID-c876fFvKdDIT
131,231191,03-31-2023,2043,Returned,Delivered,Credit Card,Next Day,SID-xUWwM36dTBwu
132,120627,"Jul 20, 2024",9411,Delivered,Packed,Wallet,Next Day,SID-Zqci00IkteVW
133,118005,02-02-2025,9077,Delivered,Returned,UPI,Standard,SID-aTgijqHg1tpE
134,193076,"Jul 30, 2023",5519,Returned,In Transit,Wallet,Express,SID-O2kYrvRSRQy6
135,210537,2023-09-05,9292,Pending,In Transit,UPI,Same Day,SID-mcOJ6c6jdjuW
136,240730,10-20-2024,5787,Cancelled,In Transit,Cash on Delivery,Express,SID-18kXwbXJoJaj
137,227166,01-10-2025,2993,Returned,Not Shipped,Wallet,Standard,SID-0JXSZPX0elQD
138,180441,"Sep 08, 2024",6945,Delivered,In Transit,Credit Card,Standard,SID-HiBf3G1VvxVp
139,228505,2023-04-30,1982,Cancelled,In Transit,Credit Card,Standard,SID-HdJYkhGE9I6o
140,217699,05/08/2023,5294,Processing,Returned,Cash on Delivery,Standard,SID-lnHScNhY4vox
141,198305,02/05/2027,9171,Cancelled,Not Shipped,Debit Card,Same Day,SID-QIxWy8QjIu34
142,231853,12-14-2023,10070,Cancelled,Delivered,Net Banking,Next Day,SID-ELeANJ7ri6lB
143,153758,13/06/2023,2315,Returned,Not Shipped,Credit Card,Same Day,SID-0p4e9uTkZYy8
144,123473,2023-06-10,3806,Pending,Delivered,Credit Card,Next Day,SID-7ewZgwEMI0FA
145,214654,2025-03-10,6291,Processing,In Transit,UPI,Standard,SID-w2ZVGpLfco0r
146,197434,2024-07-21,8300,Pending,Returned,Credit Card,Same Day,SID-NFtaYcxAsO2R
147,226975,2025-02-18,5051,Delivered,Returned,Credit Card,Express,SID-CL244GDHXibd
148,167780,24/11/2023,1016,Delivered,Packed,Credit Card,Express,SID-5m0EE6msQbhO
149,130637,14/11/2023,5970,Shipped,In Transit,Credit Card,Standard,SID-DSpX1XAFB1kw
150,206653,2024-04-25,1504,Delivered,Delivered,Net Banking,Standard,SID-h5DYkzHvokb8
151,225790,03-23-2025,10088,Pending,Returned,Wallet,Express,SID-AfmuZlqAeedm
152,221614,2024-02-25,3071,Returned,Delivered,UPI,Standard,SID-9jEGoFaXgRZj
153,209811,"Apr 17, 2025",7770,Returned,Not Shipped,Wallet,Next Day,SID-AhKErVZ33rJB
154,199699,02-10-2025,9189,Returned,Delivered,Credit Card,Standard,SID-aR5SVsKeY7VC
155,153645,02-27-2023,8121,Processing,Returned,Wallet,Same Day,SID-gNPRsUAt20ZJ
156,186265,01/04/2025,3674,Delivered,Delivered,UPI,Next Day,SID-EGJBMW6PI3fx
157,162115,26/09/2023,1295,Returned,Delivered,Cash on Delivery,Express,SID-eWV8FHfTekVq
158,172394,"Mar 20, 2023",2789,Processing,Returned,Net Banking,Standard,SID-jz6JB9Blg7S5
159,143257,2023-09-26,1912,Delivered,Delivered,Wallet,Next Day,SID-Kx8Ujr5RIvne
160,193306,13/01/2024,174,Pending,Not Shipped,Credit Card,Same Day,SID-Cwqhuoul8klq
161,215367,"Dec 25, 2024",3918,Returned,Returned,Net Banking,Next Day,SID-shSzPN3fD8I5
162,180528,28/04/2023,9497,Returned,Packed,Net Banking,Express,SID-mfN8e3AWSoxD
163,101225,"Nov 11, 2024",1611,Delivered,Returned,Credit Card,Same Day,SID-qeMt3sB4DaW4
164,214145,2025-05-11,2018,Cancelled,Packed,Cash on Delivery,Same Day,SID-ABGq2sWmpzVr
165,129270,2024-07-01,4176,Shipped,Delivered,Credit Card,Standard,SID-s83J8saCoAhw
166,106643,2024-05-15,6678,Processing,Returned,Wallet,Same Day,SID-2RfR9K9nGTb4
167,183316,14/11/2024,1973,,Returned,Cash on Delivery,Express,SID-2oEstUwFz8Ic
168,216004,24/02/2023,8783,Processing,Packed,UPI,Next Day,SID-P7SEzsHWAsIt
169,206817,2024-05-27,2860,Pending,Returned,UPI,Next Day,SID-41JrIlSCRUCr
170,195128,2024-03-14,1647,Processing,In Transit,Debit Card,Next Day,SID-gHnBX51ekNU0
171,110084,"Jun 01, 2025",4102,Delivered,Packed,Net Banking,Standard,SID-95LXw8xI54gy
172,188809,08-08-2023,3154,Delivered,In Transit,UPI,Next Day,SID-BfRtBlLViXwX
173,235263,2023-12-09,1792, Pending ,In Transit,Cash on Delivery,Standard,SID-BNmiC35jkAvH
174,146590,22/04/2025,7973,Processing,Not Shipped,Credit Card,Same Day,SID-Re4pFVeTL2gp
175,105193,2024-11-30,8946,Pending,Not Shipped,Net Banking,Standard,SID-7LqhgZ6yIDla
176,174324,07/06/2025,6224,Processing,Delivered,UPI,Next Day,SID-leZJWjn0IVke
177,128484,13/02/2025,6939,Delivered,Not Shipped,UPI,Same Day,SID-MTPsCD8RuEP7
178,223770,12-16-2024,7078,Shipped,Returned,Cash on Delivery,Next Day,SID-6yqzf07xJh9d
179,237705,09-17-2024,4145,Shipped,In Transit,UPI,Next Day,SID-2MRHMSuBfCV5
180,156553,06-10-2025,9945,Shipped,Packed,Cash on Delivery,Next Day,SID-LI4SZlJErkAr
181,176233,11/04/2023,7925,Pending,Packed,Credit Card,Same Day,SID-VV9rnYS8VzMA
182,202726,"May 06, 2025",4889,Processing,In Transit,Cash on Delivery,Express,SID-4UGRRtnVk96B
183,221181,2023-03-26,2089, Delivered ,In Transit,Net Banking,Next Day,SID-Hw2jhS8MZJcG
184,145407,"Dec 28, 2023",2377,Cancelled,Packed,Net Banking,Standard,SID-FKlFKBSVzyyF
185,164724,04-05-2024,1572,Shipped,In Transit,Cash on Delivery,Standard,SID-pF8lCwdlOUGe
186,187352,2025-04-27,1430,Returned,Packed,Debit Card,Express,SID-Eeb4ClZ9K92D
187,139137,"Feb 08, 2025",7810,Shipped,Not Shipped,UPI,Standard,SID-3GbJkraaEqaw
188,153921,10/05/2024,3083,Shipped,Returned,Net Banking,Next Day,SID-uroSfTZKutBG
189,175433,"Jan 05, 2023",6659,Shipped,Delivered,Credit Card,Standard,SID-i0Fr196GjCzX
190,193224,"Dec 02, 2024",2301,Returned,Packed,Net Banking,Standard,SID-uMVZjWTibpsm
191,173114,09/02/2024,6933,Delivered,Delivered,Debit Card,Next Day,SID-ABLiYsZuJ2U5
192,181709,01-23-2025,9291,Shipped,Not Shipped,UPI,Express,SID-7l1NpOWLu5cF
193,155463,2024-10-21,8681,,Not Shipped,Net Banking,Express,SID-1JfhrIN87tS1
194,233981,04-09-2025,2170,,Delivered,Credit Card,Standard,SID-IHPo1MT2l921
195,158930,"Jan 27, 2024",7341,Pending,Not Shipped,Cash on Delivery,Same Day,SID-SaQyl7AsBoIj
196,183276,25/02/2023,4805,Shipped,Returned,UPI,Express,SID-UnfoCe16VY3u
197,247801,2023-09-18,8829,Processing,Delivered,Credit Card,Standard,SID-zZB9lBqWsg2D
198,224001,03-17-2023,187,Shipped,In Transit,Net Banking,Same Day,SID-rl3TN7SKKPOT
199,232621,02-13-2025,5365,Cancelled,Delivered,Debit Card,Standard,SID-QqJgJIjYqIR7
200,115276,2025-04-15,4925,Delivered,Packed,Cash on Delivery,Standard,SID-OOQi7t8N6h7r
201,112623,"Apr 12, 2025",6595, Shipped ,Packed,UPI,Standard,SID-KWq1UYISEMdd
202,233943,04/02/2024,5375,Delivered,Delivered,Debit Card,Same Day,SID-omykBpR4vr6e
203,179454,"Sep 17, 2023",5199,Shipped,Delivered,Debit Card,Same Day,SID-YBxr9miDPA4H
204,143561,"Jan 26, 2024",3940,Cancelled,Returned,Net Banking,Standard,SID-GcpXyTmDPYWB
205,105324,10-16-2024,8667,Returned,Delivered,Cash on Delivery,Express,SID-W7nrYlkrMsFo
206,153084,"Dec 05, 2024",3485,Processing,In Transit,UPI,Standard,SID-U2sLWjvtEJ6e
207,173131,2024-03-25,3689,Shipped,In Transit,Wallet,Next Day,SID-tAx4oqKXWNET
208,214162,04-20-2024,9965,Returned,Delivered,Credit Card,Standard,SID-xWOYoo9gNlYy
209,151645,2024-07-06,477,Returned,Not Shipped,Credit Card,Next Day,SID-QvGIld8q7M0A
210,216433,"Apr 07, 2024",9479,Delivered,Returned,Credit Card,Standard,SID-3OiINcxcVJsK
211,124328,"Jul 14, 2023",5729,Delivered,In Transit,Cash on Delivery,Same Day,SID-hU1PC941XIyh
212,150365,08-14-2023,6008,Delivered,Delivered,UPI,Same Day,SID-7bu5qtwV1cPU
213,101840,2024-04-26,6992,Processing,Not Shipped,Debit Card,Same Day,SID-uBviv6LJ53Sd
214,106746,2023-06-23,5232,Processing,Returned,Wallet,Next Day,SID-AQG7XSNzTPO7
215,184744,2024-04-06,3778,Delivered,Delivered,Wallet,Same Day,SID-VSNtladBKP53
216,109191,2024-05-17,3731,Pending,In Transit,UPI,Standard,SID-g2yLheej1wp0
217,209670,"Dec 25, 2023",1832,Cancelled,Returned,Wallet,Standard,SID-Kojn8WQiI5LB
218,133147,"Mar 05, 2024",4738,Shipped,In Transit,Debit Card,Express,SID-8gRApNosBVVJ
219,242358,07/10/2023,8654,Delivered,Packed,UPI,Express,SID-QRpTOSswUqVW
220,163217,05-03-2023,5083,Cancelled,In Transit,UPI,Express,SID-y1QPiaqgjbDP
221,143136,"Aug 05, 2023",8337,Cancelled,Delivered,Cash on Delivery,Same Day,SID-g256bmdpjsPq
222,108236,01-16-2023,2798,Returned,Delivered,Debit Card,Next Day,SID-bvb7JSULK8Ef
223,197686,2023-08-01,1916,Processing,Returned,UPI,Express,SID-x97hPQrLSefp
224,236180,29/07/2024,5783,Pending,Delivered,Credit Card,Express,SID-fNRSvadrd4sX
225,169884,30/10/2024,4104,Delivered,Not Shipped,Net Banking,Next Day,SID-D2GNmUAfp6hl
226,110900,2024-03-06,9058,Returned,Packed,Cash on Delivery,Next Day,SID-dRxngiNnvb9j
227,136467,"Apr 03, 2025",10025,Shipped,Delivered,UPI,Next Day,SID-wAqavdrQNHLW
228,136070,"Apr 27, 2024",4790,Processing,Packed,Debit Card,Same Day,SID-hv8HvZZQAFk6
229,114137,"May 21, 2023",5195,Delivered,Packed,Credit Card,Next Day,SID-EazdDmtgF7cx
230,204543,18/02/2025,9317,Delivered,Packed,Wallet,Standard,SID-71gTPKfcSMsI
231,151878,03-28-2024,4652,Pending,Packed,UPI,Standard,SID-IeLLoVOfm59P
232,197955,10/07/2024,9951,Processing,Returned,Debit Card,Same Day,SID-h9rcKTHpWyTq
233,124817,"Oct 18, 2023",5181,Returned,Not Shipped,UPI,Next Day,SID-UGkx6tPvZJln
234,169782,2023-04-20,9984,Shipped,Packed,Debit Card,Same Day,SID-9aw6yoHlutjy
235,151249,2023-01-22,8648,Shipped,Not Shipped,Debit Card,Same Day,SID-i8XZoRaYUFAS
236,189987,2024-03-18,1309,Delivered,In Transit,Cash on Delivery,Next Day,SID-3sKThjMShWdn
237,119308,2024-09-24,6357,Delivered,Not Shipped,Cash on Delivery,Standard,SID-XIW8gA3YWd72
238,225715,"Jul 14, 2023",5279,Shipped,Packed,Cash on Delivery,Standard,SID-U2pNYujf52zE
239,212694,2023-03-22,7891,Processing,Delivered,Wallet,Next Day,SID-D6aMxGsgSw9l
240,100412,2023-10-22,7217,Delivered,Packed,Net Banking,Express,SID-suE5rfMo3nnD
241,153008,"Jul 08, 2023",7794,Delivered,Delivered,Wallet,Express,SID-8ntpG8ws5MIO
242,225081,"Apr 13, 2023",1968,Delivered,Returned,Credit Card,Express,SID-hAuw8jAowGu2
243,179028,2025-03-28,5233,Returned,Packed,Net Banking,Standard,SID-JQwrLwvwK8fv
244,103661,2024-03-05,8453,Pending,In Transit,Wallet,Standard,SID-k1Kk32Ijc4QM
245,231587,"Apr 05, 2025",1959,Shipped,In Transit,Credit Card,Express,SID-yYuR1SiDFFHq
246,233678,"Jan 23, 2023",234,Returned,Packed,Credit Card,Express,SID-KpS1ae562wss
247,145414,08-30-2024,7467,Delivered,Returned,Net Banking,Standard,SID-qJWPDlkObdMk
248,109468,2024-07-31,3429,Delivered,Not Shipped,Debit Card,Next Day,SID-x3OVHeKbTALd
249,164594,"Jan 28, 2023",8094,Cancelled,Not Shipped,Credit Card,Same Day,SID-Dmuu5WEVfOce
250,136805,04/05/2024,8479,Delivered,Returned,UPI,Standard,SID-iMQWLdRUgthU
251,104537,21/10/2023,1240,Processing,Returned,Net Banking,Next Day,SID-BB1gHUx5CHPE
252,201159,"Sep 28, 2023",5461,Cancelled,Delivered,Debit Card,Same Day,SID-Mz8XOfmVYBSY
253,157935,08-21-2024,9065,Returned,Packed,Credit Card,Same Day,SID-Kdig85OCssCC
254,179441,06-09-2024,4944,Pending,In Transit,Wallet,Standard,SID-EPtjXTa16wnd
255,176187,19/05/2023,2339,Pending,Returned,Cash on Delivery,Standard,SID-xvqmjJV92WlW
256,147325,01-01-2024,9190,Cancelled,Not Shipped,Debit Card,Next Day,SID-H7gRgKCxRqGG
257,132265,13/05/2024,9672,Shipped,Packed,Net Banking,Standard,SID-m4kPjwkjlMvA
258,157042,2024-02-29,7854,Returned,Delivered,Credit Card,Next Day,SID-MuJm9n7M3Efv
259,111503,20/02/2025,8057,Returned,In Transit,Credit Card,Next Day,SID-SfmbnX4pOEkL
260,134866,"Mar 29, 2025",7218,Delivered,Delivered,Credit Card,Next Day,SID-hfNBE8RMSgoQ
261,205330,"Dec 19, 2023",8415,Delivered,Not Shipped,UPI,Same Day,SID-OnLVl9Ffc63Y
262,134959,"Feb 02, 2023",3282,Cancelled,Packed,Net Banking,Same Day,SID-NMb0NMarahY2
263,103955,2023-11-16,7312,Processing,Returned,Wallet,Standard,SID-12XZ1OwUWkVV
264,174777,2024-11-11,2196,Delivered,Not Shipped,Debit Card,Express,SID-DiapLyrpSOdN
265,108268,15/11/2023,4447,Returned,Returned,Net Banking,Same Day,SID-qhzzDSZnfd6g
266,167924,"Sep 28, 2024",3129,Returned,Returned,Credit Card,Same Day,SID-ice6ukuNkSJM
267,198342,"Feb 22, 2023",6471,Processing,Returned,Credit Card,Same Day,SID-AL9MxQV1RTdk
268,116184,06-21-2023,106,Delivered,Not Shipped,Credit Card,Next Day,SID-wxq9oHwaduyZ
269,165072,08-01-2023,8776,Cancelled,Packed,Wallet,Standard,SID-ECJ2vqDxPnFt
270,141498,03-03-2024,2745,Processing,Packed,UPI,Same Day,SID-KuBNbQWUgNkL
271,217603,04/02/2023,8624,Pending,Delivered,Debit Card,Standard,SID-0SxKAZVW7lEn
