inventory_id,product_id,warehouse_id,stock_quantity,reserved_stock,damaged_stock,last_updated,remarks
36,5596,3349,437.0,98,9,11-10-2024,RMK-5JDIHZ
37,7497,3717,351.0,2,17,06-12-2025,RMK-TGU4FF
38,10402,2255,118.0,30,4,02-20-2025,RMK-VRQ9KU
39,7081,3772,490.0,100,12,"May 01, 2025",RMK-J75TRC
40,8026,3984,162.0,46,7,"Oct 10, 2024",RMK-P70P75
41,12144,505,213.0,33,1,"Aug 14, 2023",RMK-DS5ZWJ
42,10059,6225,180.0,11,7,"Feb 02, 2025",RMK-14KSQ7
43,3511,2309,368.0,99,1,11-30-2024,RMK-1IELAT
44,7551,4669,64.0,10,2,"Apr 29, 2023",RMK-RD4TXI
45,11158,5516,373.0,111,0,2023-09-02,RMK-F8MZO0
46,1152,9454,89.0,17,1,"Sep 12, 2024",RMK-DGQL4U
47,7683,6396,296.0,72,3,06-21-2023,RMK-GJAFVS
48,8153,8849,278.0,79,3,02/12/2024,RMK-S1K3T4
49,3231,221,324.0,29,12,2024-04-19,RMK-QNAEHM
50,5791,9730,279.0,19,9,"Oct 02, 2023",RMK-HB4R56
51,3512,5584,21.0,0,1,2024-09-11,RMK-9ZVQ0F
52,3646,2057,327.0,3,15,"Nov 29, 2023",RMK-YD3YYL
53,1786,2941,272.0,58,5,"Mar 04, 2025",RMK-X0QIT7
54,9048,909,169.0,5,8,"Oct 11, 2024",RMK-RYFYT2
55,8130,7304,420.0,18,21,28/03/2024,RMK-9SI0J5
56,1683,6529,61.0,1,2,2024-03-25,RMK-O4B3CI
57,329,364,119.0,17,5,"Apr 26, 2025",RMK-2V7UI2
58,4809,410,114.0,14,4,"Oct 08, 2023",RMK-FH2QA8
59,2542,3778,133.0,6,3,04-17-2024,RMK-U38CWB
60,2476,3307,22.0,2,1,"Jan 29, 2024",RMK-DU335Q
61,3942,3500,205.0,58,2,11-05-2024,RMK-VTFWXF
62,9173,9674,428.0,46,8,06/04/2025,RMK-5DMW5A
63,5760,2984,100.0,11,4,11-05-2023,RMK-38GCSB
64,5784,2509,52.0,1,2,19/06/2023,RMK-96A38H
65,3944,1364,100.0,19,5,"Aug 30, 2023",RMK-LGNJJB
66,10943,2651,153.0,42,7,06-08-2024,RMK-9OV38D
67,2014,7347,172.0,22,2,23/07/2023,RMK-YSSLAO
68,3537,6110,350.0,42,2,"Sep 12, 2023",RMK-D6E7A5
69,5796,8362,13.0,0,0,03-15-2024,RMK-LA1EHT
70,8909,29,239.0,20,6,"Mar 05, 2023",RMK-RDQ6CI
71,7302,1731,60.0,13,2,30/05/2024,RMK-T4K42L
72,9925,800,259.0,36,9,23/03/2023,RMK-0OWNVG
73,4959,4118,473.0,138,10,17/03/2023,RMK-XI926T
74,8157,5315,498.0,106,8,01/10/2023,RMK-UDJMAJ
75,2779,3869,192.0,17,8,2024-09-21,RMK-Z1HH49
76,8285,7149,298.0,4,6,13/12/2024,RMK-0E33RZ
77,5757,3547,369.0,103,14,"Jan 06, 2025",RMK-F8VKSR
78,2118,1094,490.0,84,13,10-18-2023,RMK-7QQYTK
79,10847,5068,58.0,4,0,2023-03-11,RMK-VIM5DT
80,11010,2607,325.0,58,14,09-13-2024,RMK-81DF8S
81,6713,9747,347.0,87,17,27/08/2023,RMK-ZP2QKX
82,10058,8159,141.0,42,0,2025-01-19,RMK-4R9PZU
83,10490,2671,381.0,15,15,2024-05-12,RMK-GAJEUG
84,164,2753,410.0,117,0,06/11/2024,RMK-K8C106
85,9284,3717,91.0,26,2,08/05/2025,RMK-HONMG6
86,6762,3494,73.0,4,1,02/04/2023,RMK-CGCACR
87,924,5393,106.0,29,5,2024-06-11,RMK-NISVA3
88,1106,4997,271.0,48,13,2024-09-05,RMK-RIO9O1
89,9536,4550,489.0,30,8,2023-02-25,RMK-TJEJI2
90,8591,7876,225.0,1,10,"Apr 24, 2025",RMK-OVMIHJ
91,10249,4237,339.0,76,3,2023-03-01,RMK-W6XL2L
92,12139,8831,459.0,13,4,08/02/2024,RMK-WU1RWV
93,11412,9659,178.0,9,8,"Apr 14, 2024",RMK-XZUPKY
94,561,87,137.0,22,6,2024-06-16,RMK-B8HJ3L
95,4750,499,243.0,6,12,"May 11, 2024",RMK-JUK9B1
96,10854,9651,9.0,2,0,26/01/2023,RMK-I2RFGJ
97,5702,4873,456.0,63,8,17/06/2024,RMK-C9R5XK
98,7799,6814,221.0,55,1,2023-04-23,RMK-Y916AO
99,149,9623,170.0,50,4,25/03/2023,RMK-XS2H8G
100,6518,9721,68.0,12,3,08-10-2023,RMK-979LT0
101,3899,5402,242.0,38,3,2023-10-31,RMK-V2VPFB
102,4354,3070,220.0,52,10,2023-06-19,RMK-4418GV
103,3504,8474,462.0,131,14,02-02-2023,RMK-P2I6NW
104,6346,4488,409.0,93,18,2023-04-18,RMK-AHFHX6
105,1130,8212,446.0,59,10,02-19-2023,RMK-JXQJNS
106,8299,5668,122.0,6,2,30/01/2025,RMK-SOQH40
107,1518,830,101.0,9,5,2023-11-16,RMK-T19O0A
108,8954,8404,186.0,39,8,2025-02-25,RMK-X1YGMF
109,4944,1753,167.0,18,1,2024-06-16,RMK-DKB9P9
110,1446,3170,320.0,60,14,09-09-2024,RMK-NSBFP1
111,8211,9475,45.0,6,2,06-06-2025,RMK-06AMBF
112,8487,7962,320.0,6,8,"May 16, 2025",RMK-2N4F4F
113,8373,7909,495.0,124,0,2025-03-18,RMK-EGGFWB
114,4003,4428,105.0,8,1,2023-09-23,RMK-2O0ES8
115,3730,3432,134.0,33,6,06-09-2024,RMK-SQCBDO
116,1671,3438,437.0,25,19,"May 31, 2024",RMK-UDFG1K
117,6914,6459,425.0,61,10,"Jun 02, 2025",RMK-DKGTXV
118,8000,4664,97.0,9,2,03-13-2024,RMK-RILFFB
119,11815,4743,462.0,96,10,30/09/2023,RMK-GXCTZO
120,7698,1850,483.0,50,3,2023-01-31,RMK-MLTQ9F
121,11486,6012,97.0,3,0,"Apr 08, 2024",RMK-MIYSCM
122,7673,1114,362.0,83,10,09-12-2023,RMK-MMWB0K
123,211,6613,340.0,97,14,"Aug 27, 2023",RMK-HRDS26
124,537,9428,194.0,52,4,02-25-2023,RMK-S20XZV
125,9779,9384,441.0,37,14,12-03-2023,RMK-J7AW9G
126,2401,2309,3.0,0,0,2024-09-10,RMK-LAG1HS
127,8370,4523,341.0,91,8,12/12/2023,RMK-0X0OAP
128,3201,7893,247.0,12,8,2023-06-18,RMK-T5YK0K
129,1923,7415,116.0,25,0,24/11/2023,RMK-XH0E8F
130,1040,4985,74.0,9,2,2024-02-25,RMK-CZ5KFH
131,5244,9595,139.0,10,5,2023-09-24,RMK-LG8TZJ
132,464,8323,225.0,61,5,01-13-2025,RMK-Q27GOP
133,4684,5279,205.0,42,8,2024-08-04,RMK-J44HIU
134,10959,4646,14.0,2,0,16/10/2024,RMK-W0SPM9
135,683,7374,35.0,8,1,12-09-2023,RMK-JV7WO7
136,3788,702,324.0,4,4,14/02/2025,RMK-2XGJ0W
137,9727,2498,296.0,62,12,19/12/2024,RMK-SKHDTO
138,7319,5366,450.0,41,13,"Apr 09, 2024",RMK-X4H37T
139,8876,9939,370.0,1,8,16/11/2024,RMK-SE2YFL
140,5054,3162,113.0,22,3,14/02/2024,RMK-9VV9WP
141,7039,7113,313.0,13,8,12/10/2023,RMK-5BF3OI
142,5121,3473,390.0,45,3,01-31-2023,RMK-K602WU
143,11466,2228,294.0,32,11,"Mar 07, 2023",RMK-DTZWON
144,4155,8434,0.0,0,0,2023-08-12,RMK-SK5Y03
145,1412,1733,262.0,70,10,07/05/2025,RMK-LUHZ36
146,12129,4061,406.0,5,0,"Apr 12, 2025",RMK-J62F4G
147,2143,8573,229.0,58,8,"Oct 24, 2024",RMK-T2W10B
148,10292,7852,105.0,12,2,01-25-2023,RMK-WF3AQ9
149,1715,6846,21.0,2,0,"Sep 05, 2024",RMK-OQVA80
150,3976,8272,416.0,42,8,12-05-2024,RMK-6WEBKR
151,4756,1504,421.0,13,11,07-13-2024,RMK-HHWHNY
152,5898,888,142.0,0,4,11-14-2023,RMK-XI1NEL
153,3759,5212,422.0,44,21,03-03-2025,RMK-YL600H
154,3993,4417,31.0,2,0,2023-01-21,RMK-C2QJVU
155,4911,142,194.0,29,4,2024-07-18,RMK-TE7WJU
156,6771,6679,424.0,105,6,12-23-2023,RMK-XPZTHM
157,8204,1958,489.0,54,22,2023-01-14,RMK-JUN89T
158,2127,2092,417.0,37,18,04-09-2023,RMK-THBR8I
159,2886,2412,33.0,3,1,"Dec 20, 2024",RMK-XE9TFO
160,5479,8599,43.0,5,0,2024-10-08,RMK-H9VJTW
161,12062,3562,107.0,10,2,28/04/2023,RMK-ZLWK48
162,3726,1670,476.0,111,7,06-17-2023,RMK-M3JBJH
163,2909,7830,142.0,21,2,2024-02-15,RMK-FJ2ZDN
164,551,5460,87.0,14,2,"May 13, 2023",RMK-HA5H5R
165,7639,1157,467.0,67,23,10-27-2023,RMK-DAF2PZ
166,8716,10178,499.0,43,22,"Dec 20, 2024",RMK-FUUZG2
167,12024,8231,58.0,8,0,08-30-2024,RMK-2Q30MJ
168,5235,5688,153.0,38,1,"Dec 23, 2024",RMK-JIWVCB
169,3029,4786,195.0,40,7,"Jan 11, 2025",RMK-88KZWO
170,1700,7046,170.0,39,7,2023-11-06,RMK-05DE1J
171,10305,7225,23.0,4,1,09/06/2024,RMK-QH5PCW
172,7775,8421,13.0,0,0,2023-01-04,RMK-93QW4L
173,3714,9169,461.0,12,22,05-23-2024,RMK-RJ7X4S
174,2875,9316,104.0,7,0,26/06/2024,RMK-LOFW27
175,9059,2685,448461.0,83553,17546,09-09-2023,RMK-TECD4G
176,3009,3179,204.0,15,6,02-11-2024,RMK-TRHJ0Z
177,11283,6153,81.0,4,2,05-11-2024,RMK-JTC58P
178,11859,4285,121.0,11,2,17/05/2023,RMK-PDH0X3
179,11362,10169,120.0,28,0,28/10/2023,RMK-96EHIM
180,2414,2171,,,,26/12/2023,RMK-G5A896
181,10174,7756,422.0,16,7,"Apr 06, 2025",RMK-APL1JV
182,4009,4793,192.0,5,6,25/05/2024,RMK-IIHORH
183,9156,441,365.0,25,7,2023-01-17,RMK-XITP3N
184,7603,1466,92.0,3,0,2023-12-21,RMK-PGP9IV
185,7769,1816,238.0,67,6,"Apr 18, 2023",RMK-DEY3AI
186,3033,765,287.0,46,9,2025-04-25,RMK-JB77QM
187,9379,4348,339.0,60,4,2024-07-18,RMK-B0ZWED
188,595,6850,225.0,3,6,2023-01-27,RMK-IP0I6D
189,2455,2897,369.0,6,12,2024-05-31,RMK-CUM0QW
190,2922,100,173.0,41,1,03/01/2024,RMK-ZURIQY
191,6807,3788,339.0,57,13,"May 24, 2025",RMK-6SCRGL
192,3838,2574,194.0,41,5,2024-08-19,RMK-ZSL8V7
193,7034,7061,322.0,16,15,07/08/2023,RMK-TYGVSU
194,8264,8152,361.0,51,5,"Jun 16, 2025",RMK-PCROX2
195,11639,7012,12.0,3,0,"Jun 01, 2023",RMK-LKK987
196,4693,7641,382.0,30,0,06-01-2025,RMK-KV8BQO
197,11446,9723,182.0,19,2,14/06/2024,RMK-WGRF5A
198,2620,2877,189.0,44,1,2024-12-04,RMK-W1TCKL
199,688,2572,89.0,18,2,2024-06-16,RMK-LJK3XT
200,5455,5711,352.0,103,6,12-07-2023,RMK-OEPVH3
201,9599,5341,397.0,88,18,"Jun 17, 2025",RMK-VMEBEA
202,1241,9465,352.0,2,2,04-14-2023,RMK-9TJ5YH
203,3829,9840,294.0,87,9,2024-10-18,RMK-JTG6GR
204,6759,3848,182.0,31,4,26/02/2024,RMK-PETO4W
205,806,5506,296.0,2,8,2025-05-26,RMK-9EPS68
206,6403,2647,229559.0,48431,782,2023-06-26,RMK-8SFJ8U
207,2453,5429,10.0,3,0,"Jun 03, 2025",RMK-LAPO54
208,4307,7687,439.0,78,0,"Oct 17, 2024",RMK-U56OQK
209,12197,4294,210.0,42,8,2023-03-27,RMK-73Y66C
210,11615,4818,93.0,8,1,2023-09-18,RMK-QWXI3K
211,12302,9734,316.0,48,15,19/05/2023,RMK-THEBWR
212,7516,7731,81.0,5,4,2024-10-03,RMK-8MLT8M
213,5192,1676,233.0,64,9,11-28-2024,RMK-42L01S
214,10703,3494,279.0,22,1,"Mar 03, 2025",RMK-ZUTZRI
215,8062,5684,469.0,53,23,08-04-2023,RMK-XVKVPX
216,8700,3538,287.0,51,12,"Jun 06, 2025",RMK-HGTSYY
217,395,6325,383.0,16,7,30/01/2023,RMK-0OZCFW
218,644,5855,318.0,44,14,10-05-2024,RMK-L62BUX
219,2892,1286,8.0,0,0,10-27-2023,RMK-1MZX7L
220,1609,2825,312.0,89,1,"May 04, 2024",RMK-5IKGEI
221,8644,8141,330.0,81,9,02/09/2023,RMK-0U98V5
222,1254,9832,290.0,43,14,11-30-2023,RMK-XLKCXL
223,4295,2003,126.0,7,5,15/06/2025,RMK-FZ2V6H
224,11067,7669,430.0,39,14,2023-03-02,RMK-TZ374I
225,10797,3524,139.0,27,6,13/02/2024,RMK-QWL697
226,9706,5445,372.0,93,12,04/07/2023,RMK-C099HY
227,4370,512,459.0,110,5,2025-06-11,RMK-C1KE3J
228,2123,2886,499.0,11,18,06-06-2023,RMK-DJTBJN
229,8651,5525,379.0,111,15,"Feb 10, 2025",RMK-2U0WPO
230,12112,2137,229.0,40,0,2025-01-03,RMK-A2C824
231,56,4895,123.0,25,5,02/10/2024,RMK-COCJ7P
232,542,7430,104.0,15,2,04/10/2024,RMK-2J1THA
233,4752,1055,190.0,1,9,04-29-2023,RMK-1CH63T
234,9292,4258,199.0,29,9,08/04/2025,RMK-16Y7SA
235,12084,4507,22.0,5,1,2023-01-23,RMK-KMG3N2
236,11030,2995,265.0,69,13,05-14-2023,RMK-C8GIIU
237,9158,6229,60.0,5,0,2024-04-20,RMK-ZPZ3W7
238,10860,7853,491.0,26,12,06-15-2025,RMK-XJU84L
239,7759,9784,223.0,47,1,"Apr 27, 2024",RMK-CR7651
240,6996,3635,390.0,112,19,12/01/2023,RMK-0NKXGB
241,4391,8309,441.0,89,16,"Oct 13, 2023",RMK-YVH1U8
242,6543,1654,377.0,79,3,"Dec 03, 2024",RMK-O6UFF2
243,7632,3258,428.0,96,5,12-05-2024,RMK-01UPUL
244,12011,3614,377.0,81,10,"Jan 10, 2025",RMK-YBHTJG
245,890,6167,92.0,26,4,"Jan 22, 2025",RMK-HGFLXS
246,4596,74,89.0,22,2,"Jul 08, 2023",RMK-I4HWLI
247,1271,10103,269.0,23,8,01/10/2024,RMK-9Q85TL
248,7949,3111,316.0,22,1,"Jun 29, 2024",RMK-OTMRF2
249,3692,6843,407.0,32,19,05-06-2023,RMK-NZ0UJN
250,3995,774,372.0,49,16,"May 29, 2025",RMK-0HSDDP
251,10457,7784,218.0,59,10,2025-04-02,RMK-DQB78O
252,5644,8202,356.0,106,1,2025-04-24,RMK-Q7ETFR
253,7462,8350,140.0,6,4,"Feb 07, 2024",RMK-DIEM88
254,1269,2538,223.0,23,9,2024-10-08,RMK-5M1T42
255,4691,4811,471.0,42,2,2024-11-05,RMK-H9X5SN
256,4706,4118,240.0,3,0,"Apr 24, 2024",RMK-C4FPGB
257,3466,6098,216.0,54,9,2024-03-16,RMK-6KO9PC
258,8345,6884,221.0,12,5,11-18-2024,RMK-D5ERK7
259,1959,7052,80.0,1,3,05-10-2023,RMK-GU79N2
260,2546,4045,263.0,18,13,27/05/2023,RMK-2Z9S9M
261,8892,7506,48.0,14,1,2023-04-24,RMK-O38LJN
262,54,9611,295.0,15,12,05-24-2023,RMK-JIEPK1
263,10420,9227,224.0,47,9,"Mar 18, 2025",RMK-F3CE34
264,11311,214,187.0,20,9,16/02/2024,RMK-VAT7O1
265,5836,8763,452.0,80,1,03-16-2024,RMK-XDF9VX
266,3032,6244,98.0,4,4,"Mar 21, 2025",RMK-UHL3Z4
267,10861,239,450.0,133,17,10/06/2024,RMK-K600EB
268,5840,9800,61.0,0,1,05-18-2025,RMK-N1CF5V
269,3397,9346,300.0,87,10,06/01/2023,RMK-UTZIUW
270,9377,8138,90.0,14,1,"Apr 25, 2025",RMK-F6C2R7
271,3753,6926,81.0,15,4,26/10/2023,RMK-OXIL3M
272,10392,772,45.0,1,2,02/03/2023,RMK-JT2M0P
273,8532,2445,452.0,129,2,04-25-2025,RMK-RSHB02
274,12758,2675,126.0,17,6,"Mar 17, 2025",RMK-26NZYI
275,8583,2199,45.0,7,0,"Jul 03, 2023",RMK-Q1F361
276,6382,2835,446.0,111,18,2023-09-13,RMK-1V8XPQ
277,11469,7634,161.0,22,7,20/03/2024,RMK-B9B5TE
278,11392,4314,376.0,8,13,10-01-2024,RMK-5770A8
279,5534,251,468.0,51,14,2023-01-12,RMK-SXURMO
280,11565,5927,489.0,65,24,26/05/2024,RMK-DNOUTL
281,10200,5784,291.0,59,11,15/08/2024,RMK-E5BEQY
282,10199,2511,62.0,17,3,2024-04-07,RMK-CKHGWS
283,7158,5210,453.0,11,13,"Sep 27, 2023",RMK-8O2Z67
284,2608,9383,180.0,54,7,2024-04-05,RMK-BMYT2T
285,4597,2616,225.0,64,6,02-11-2023,RMK-D3GCEE
286,3738,2243,484.0,44,4,03/10/2024,RMK-7GFOL7
287,6614,6722,143.0,9,5,04-12-2024,RMK-DBE2J2
288,6145,6510,313.0,60,3,06-05-2023,RMK-6U9KSE
289,1028,6365,421.0,114,14,2023-07-22,RMK-7NNVLS
290,2939,9625,221.0,50,1,2023-12-05,RMK-PNS03H
291,3758,4628,103.0,28,4,2025-04-27,RMK-OGAH8E
292,1676,103,436.0,54,4,"Jan 27, 2025",RMK-XTJE0B
293,7983,2985,386.0,69,16,2023-07-07,RMK-1FM5HU
294,11166,6398,-198.0,0,0,2023-10-20,RMK-45Z6FB
295,9275,1160,161.0,23,6,2023-03-31,RMK-PTS87F
296,4233,877,280.0,80,5,25/03/2024,RMK-HODOG4
297,5113,9009,388.0,54,18,12/04/2024,RMK-3BKZ87
298,697,4030,24.0,1,0,2024-09-15,RMK-DEAKO5
299,9250,9942,253.0,57,5,"Aug 18, 2024",RMK-MKQWVT
300,2170,4952,387.0,73,2,30/03/2023,RMK-ZR2DYQ
301,3961,777,263.0,20,8,"Jun 11, 2024",RMK-3Z3Q11
302,4314,3888,138.0,34,1,09-15-2024,RMK-H2H5ML
303,1937,5809,249.0,63,7,2024-12-05,RMK-6CRVX9
304,7764,4193,162.0,32,3,2023-01-28,RMK-HDRXC6
305,8652,8849,89.0,3,2,2024-11-19,RMK-9MYFX5
306,7227,5474,421.0,105,11,08-24-2024,RMK-KXUXYA
307,2395,1163,309.0,85,8,2025-01-07,RMK-0FVJXT
308,4934,9215,83.0,20,4,2023-03-05,RMK-W4FI4K
309,3525,8846,77.0,12,2,2024-01-26,RMK-MTJP69
310,11737,6768,200.0,33,9,2024-08-09,RMK-JVIGIM
311,1340,5392,25.0,0,0,01-01-2023,RMK-X6VQL5
312,6107,1070,497.0,84,24,2024-11-01,RMK-5QS4AM
313,4686,1170,405.0,17,16,06-09-2023,RMK-93ML0D
314,6358,4430,286.0,71,7,25/12/2023,RMK-BFW4SO
315,364,2603,145.0,10,2,"Mar 24, 2024",RMK-I3D5QA
316,2279,4474,18.0,5,0,"Mar 30, 2024",RMK-W025L3
317,2361,5180,80.0,5,2,06-04-2025,RMK-NPELMD
318,4497,442,379.0,102,16,18/11/2023,RMK-TUZ841
319,5105,8302,415.0,20,8,07/07/2024,RMK-SJQNIB
320,5048,2684,56.0,13,2,2023-08-27,RMK-WFS1TU
321,8718,6788,165.0,18,8,09-20-2023,RMK-VXQXCR
322,7336,6675,28.0,7,1,15/04/2023,RMK-HDQI1Y
323,611,521,390.0,69,12,01-01-2023,RMK-GIW3DK
324,572,4568,166.0,13,1,12/04/2025,RMK-U6DB6G
325,7203,5418,409.0,83,6,"May 23, 2023",RMK-76CWKV
326,3509,9073,322.0,18,5,"Aug 20, 2024",RMK-TBY612
327,5826,1279,238.0,27,1,2023-10-20,RMK-3WYXCW
328,9873,2995,5.0,1,0,04-24-2024,RMK-U382SL
329,2474,1631,144.0,27,3,"Aug 28, 2023",RMK-AYZ9ZF
330,10114,6226,432.0,116,4,"Mar 24, 2023",RMK-QZ33PD
331,7146,3682,423.0,22,18,01-09-2024,RMK-JA9YCX
332,10730,559,174.0,7,4,2024-08-04,RMK-W23KCY
333,9268,746,366.0,3,12,2024-11-07,RMK-G3WLYX
334,10020,160,201.0,42,7,2024-01-21,RMK-6P0JAI
335,5310,5386,236.0,6,9,16/11/2023,RMK-FNF17B
336,2920,5911,348.0,30,8,21/04/2025,RMK-2129SP
337,11956,3444,381.0,13,18,"May 11, 2024",RMK-REYL1L
338,10271,1981,22.0,1,1,11-21-2023,RMK-8BXBRK
339,9167,4888,230.0,34,8,30/08/2023,RMK-OSU5ZZ
340,11616,422,363.0,99,7,04-28-2025,RMK-44D962
341,10812,2119,269.0,13,6,2023-10-13,RMK-TNM5II
342,4292,4682,395.0,64,8,2023-03-24,RMK-WM7MWK
343,5769,6998,495.0,67,15,10-07-2024,RMK-D16GTV
344,12224,3016,145.0,10,0,06-08-2024,RMK-EH5R7V
345,11218,5868,107.0,1,4,11/01/2024,RMK-JTJMDV
346,3151,573,135.0,5,4,06/03/2024,RMK-H8MW66
347,9052,10269,393.0,34,1,2024-11-13,RMK-05WNL5
348,862,8850,390.0,6,9,2025-02-16,RMK-N8EQXY
349,2053,9236,166.0,48,5,07/02/2025,RMK-6VKU2M
350,7396,5380,329.0,65,3,19/02/2025,RMK-RR2FP3
351,2514,4184,233.0,42,3,2024-12-27,RMK-8SP6OL
352,299,9651,323.0,54,14,"May 19, 2023",RMK-MZT0M9
353,6250,7306,386.0,79,6,18/08/2024,RMK-90IGI0
354,4100,5628,,,,04-30-2025,RMK-W2AUH2
355,7593,2681,352.0,41,1,09-12-2024,RMK-9M0BZ8
356,2587,121,457.0,35,6,2024-04-16,RMK-SOJ6XG
357,4721,5993,468.0,97,23,2023-05-16,RMK-3JG7IQ
358,2886,684,320.0,73,8,16/12/2023,RMK-DK4SCP
359,5794,1210,425.0,95,18,2023-07-28,RMK-FMCYZS
360,5720,4568,486.0,117,14,"Jan 08, 2025",RMK-E6F8H0
361,8688,6582,385.0,105,5,2024-03-07,RMK-77I65Y
362,5559,5942,225.0,35,6,"Oct 24, 2023",RMK-HDFCVW
363,6044,9121,201.0,38,3,21/01/2023,RMK-TJ6PBF
364,1744,9233,428.0,102,11,2024-02-06,RMK-B8XQJG
365,8720,9033,385.0,33,2,18/01/2024,RMK-8332FS
366,12412,4250,302.0,3,13,"Dec 14, 2023",RMK-YFCNYM
367,10221,9407,308.0,43,2,2023-09-17,RMK-CDP8I3
368,3598,1997,144.0,8,7,"Oct 20, 2023",RMK-SYB3KE
369,8413,7175,303.0,57,2,01-24-2025,RMK-6D2LJV
370,10327,8276,193.0,28,2,17/12/2024,RMK-WIE254
371,389,9975,185.0,19,1,02-21-2023,RMK-XS25W3
372,2052,3905,301.0,81,6,2024-03-09,RMK-JN0AJ0
373,11997,5706,289.0,43,8,12/04/2023,RMK-IZ1B9S
374,3607,6322,82.0,12,4,01-19-2024,RMK-UEF9JN
375,9494,2808,157.0,29,2,"Jul 06, 2023",RMK-WODFP4
376,3780,2170,83.0,1,0,02-29-2024,RMK-SJTVCS
377,2498,8738,10.0,2,0,"Apr 25, 2024",RMK-4F9ZSO
378,6972,6600,454.0,9,7,2025-02-04,RMK-4ZYALO
379,2609,5970,292.0,31,2,"Nov 13, 2023",RMK-06JY78
380,176,8000,394.0,103,18,01/01/2025,RMK-KZ7N7E
381,6127,4595,236.0,2,11,2024-08-16,RMK-8YP6YK
382,882,7899,291.0,57,3,02-18-2025,RMK-833WQI
383,10895,1609,284.0,27,11,06-19-2025,RMK-PPWZ39
384,2247,4273,125.0,36,6,04/07/2023,RMK-61Y5GX
385,10110,5764,219.0,31,10,"Nov 07, 2023",RMK-49ADCW
386,7105,9129,404.0,117,2,12-14-2024,RMK-AN7HWR
387,9363,2779,212.0,14,7,11-05-2024,RMK-LA0155
388,3466,9144,17.0,4,0,11-16-2024,RMK-98F7O2
389,3962,488,491.0,65,7,2025-02-26,RMK-IZ77MS
390,5638,4389,160.0,0,8,2023-06-17,RMK-YTU3OQ
391,7425,6898,261.0,75,0,28/07/2024,RMK-Z6ZNQS
392,8894,1394,305.0,69,13,01-05-2024,RMK-086U9M
393,2871,268,353.0,93,0,08/02/2023,RMK-1GF685
394,997,4377,110.0,4,3,05/03/2025,RMK-JO813T
395,2040,6577,472.0,11,19,2023-03-29,RMK-GRPB18
396,3422,2249,151.0,37,4,2023-10-14,RMK-49D5AS
397,10130,1369,413.0,10,6,08-26-2023,RMK-61DRNV
398,4760,1241,100.0,0,0,"Apr 23, 2025",RMK-BCAY9D
399,4770,5365,301.0,33,15,"Jan 27, 2023",RMK-WCD7FI
400,6166,6027,316.0,2,1,"Feb 09, 2023",RMK-S1DL1K
401,1551,5415,356.0,87,10,2024-12-15,RMK-WVD1KL
402,11732,5274,487.0,101,2,10/05/2023,RMK-KULESM
403,3029,6008,158.0,29,1,"Jun 30, 2024",RMK-4S64SE
