supplier_id,supplier_name,city,country,supplier_type,lead_time,rating,legacy_supplier_code
90,Blue Partners 90,Seattle,Germany,Manufacturer,15,3.6,LSC-IMQODPXN
91,Summit Industrial 91,Chicago,Thailand,Wholesaler,4,4.6,LSC-DD03UVUL
92,Blue Retail Supply 92,Denver,South Korea,Manufacturer,29,4.2,LSC-15Z8VMUH
93,West Trading 93,Houston,South Korea,Wholesaler,13,4.6,LSC-N1U3493W
94,Global Enterprises 94,Miami,Mexico,Distributor,2,3.0,LSC-ZLMA5UOF
95,Global Distributors 95,San Jose,USA,Manufacturer,8,3.4,LSC-QFLL7V5F
96,Prime Distributors 96,Miami,India,Distributor,16,4.2,LSC-RPJ1EPKY
97,West Partners 97,Boston,Mexico,Wholesaler,3,3.1,LSC-9BH811KE
98,West Retail Supply 98,Dallas,Germany,Wholesaler,6,3.5,LSC-ZS43C5BA
99,Vertex Procurement 99,Nashville,Canada,Distributor,15,3.9,LSC-ZPEAL2W3
100,Rapid Distributors 100,Charlotte,India,Wholesaler,29,,LSC-POC50H2C
101,Blue Partners 101,San Jose,Thailand,Distributor,8,4.8,LSC-M033IFHV
102,Vertex Wholesale 102,Philadelphia,Germany,Distributor,16,-1.0,LSC-1Q7UWW5W
103,Summit Industrial 103,Chicago,USA,Distributor,17,,LSC-KJCSLQC3
104,Vertex Distributors 104,Portland,Vietnam,Distributor,21,3.8,LSC-QT26Q3XL
105,West Partners 105,Phoenix,India,Distributor,3,3.6,LSC-349DXBZ9
106,East Partners 106,Portland,Vietnam,Distributor,7,3.4,LSC-7N1YBWML
107,Elite Logistics 107,Miami,China,Manufacturer,25,4.6,LSC-8VFCX7LX
108,Elite Wholesale 108,Portland,Thailand,Wholesaler,24,4.8,LSC-LN23Y30Y
109,East Distributors 109,Charlotte,Mexico,Wholesaler,18,3.4,LSC-NGH8RIEC
110,Blue Partners 110,Columbus,Canada,Distributor,28,4.3,LSC-SX5WVFGY
111,Apex Industrial 111,Los Angeles,USA,Distributor,15,3.4,LSC-Z8V12II8
112,West Trading 112,Denver,Mexico,Distributor,23,4.9,LSC-9QKNS832
113,Summit Logistics 113,Los Angeles,China,Manufacturer,22,3.7,LSC-N7ZSEDFQ
114,East Wholesale 114,Charlotte,USA,Wholesaler,4,4.9,LSC-HQMABSI9
115,Rapid Trading 115,New York,Mexico,Wholesaler,12,4.8,LSC-4X2EK3ZE
116,West Industrial 116,Portland,USA,Manufacturer,2,4.8,LSC-AHF7VP1I
117,Blue Supply 117,Atlanta,Germany,Wholesaler,15,4.1,LSC-WC4RTWUZ
118,Evergreen Retail Supply 118,New York,Germany,Manufacturer,21,3.4,LSC-UGYSM8T2
119,East Partners 119,New York,China,Wholesaler,14,4.7,LSC-BNN0MCIX
120,Blue Enterprises 120,San Francisco,India,Manufacturer,6,2.6,LSC-T3G2QZW3
121,Vertex Industrial 121,Los Angeles,USA,Wholesaler,11,3.0,LSC-25LLO3RB
122,Metro Logistics 122,Denver,China,Wholesaler,29,4.5,LSC-5LEN606N
123,Apex Industrial 123,Philadelphia,Germany,Distributor,13,4.8,LSC-S20CV3TL
124,Vertex Procurement 124,Boston,India,Wholesaler,11,3.6,LSC-ZFPQ06WP
125,Prime Distributors 125,Austin,India,Manufacturer,13,3.8,LSC-0FB4YPEI
126,Rapid Procurement 126,Austin,Japan,Manufacturer,20,2.6,LSC-FQNPCENL
127,Nova Trading 127,Houston,India,Wholesaler,2,4.3,LSC-RNUJJQ9K
128,West Trading 128,Houston,Vietnam,Wholesaler,6,4.6,LSC-Q6QDY4LM
129,Vertex Partners 129,Columbus,USA,Manufacturer,11,4.7,LSC-4Z7W2SEH
130,Summit Trading 130,Philadelphia,Canada,Manufacturer,2,3.4,LSC-UQ9E5COZ
131, West Partners 131 ,Charlotte,Vietnam,Manufacturer,26,3.5,LSC-UELCQSE3
132,Apex Wholesale 132,Charlotte,Mexico,Manufacturer,18,4.8,LSC-BEFFLZM7
133,Evergreen Distributors 133,Miami,Mexico,Manufacturer,8,4.1,LSC-TEKTSG7F
134,Quantum Enterprises 134,Los Angeles,South Korea,Wholesaler,28,4.7,LSC-C81JHUWB
135,Evergreen Logistics 135,Philadelphia,Mexico,Manufacturer,9,4.5,LSC-YKCCPRHV
136,Quantum Procurement 136,Denver,Canada,Distributor,14,2.8,LSC-NULQJIDK
137,Elite Enterprises 137,Charlotte,Germany,Distributor,9,4.9,LSC-637ZGF9Q
138,Evergreen Industrial 138,New York,Thailand,Manufacturer,4,4.9,LSC-S8HMBR5X
139,West Logistics 139,Columbus,Thailand,Manufacturer,2,4.6,LSC-P501NOUH
140,Evergreen Distributors 140,Austin,Japan,Manufacturer,18,3.6,LSC-T3WVEDN9
141,Rapid Wholesale 141,Seattle,Vietnam,Distributor,21,3.8,LSC-SBELRQVS
142,Quantum Enterprises 142,San Francisco,China,Manufacturer,7,3.5,LSC-W4VSSRUR
143,Global Procurement 143,San Francisco,Germany,Distributor,23,2.8,LSC-OL65WVJX
144,United Supply 144,Nashville,Vietnam,Distributor,17,2.9,LSC-WW4FYB8D
145,Global Industrial 145,San Francisco,India,Wholesaler,15,2.9,LSC-YO1750CE
146,Metro Partners 146,San Francisco,Thailand,Wholesaler,23,3.7,LSC-N8QTTY5Y
147,Nova Enterprises 147,Philadelphia,Japan,Wholesaler,8,4.9,LSC-KK791ZYR
148,West Procurement 148,Columbus,Vietnam,Distributor,27,4.3,LSC-KUT6OM1F
149,Prime Logistics 149,Chicago,Japan,Manufacturer,13,4.8,LSC-X0H3JUJD
150,United Trading 150,Los Angeles,India,Wholesaler,23,4.8,LSC-IIDLRYE8
151,Apex Retail Supply 151,Philadelphia,Germany,Wholesaler,17,4.1,LSC-1KKC1XI0
152,Prime Wholesale 152,Charlotte,Germany,Manufacturer,30,4.6,LSC-7B42G05K
153,Prime Supply 153,Boston,USA,Wholesaler,20,4.0,LSC-7MQXS6ES
154,Nova Trading 154,Houston,Vietnam,Manufacturer,12,2.9,LSC-QJG02U1G
155,Elite Retail Supply 155,San Jose,Japan,Wholesaler,-2,2.7,LSC-YGFLIJI1
156,Quantum Logistics 156,Nashville,USA,Distributor,25,3.9,LSC-JMIYQFY7
157,Evergreen Distributors 157,Boston,Japan,Distributor,13,4.0,LSC-HEF0VOTQ
158,Metro Trading 158,Portland,Japan,Wholesaler,29,4.5,LSC-STN7E36H
159,Summit Wholesale 159,San Francisco,USA,Distributor,29,3.8,LSC-EHUDS3QS
160,South Enterprises 160,Los Angeles,USA,Manufacturer,19,3.7,LSC-30O30UBM
161,Vertex Partners 161,Los Angeles,Canada,Wholesaler,30,2.7,LSC-7BO119XP
162,Elite Industrial 162,Austin,Japan,Wholesaler,14,2.7,LSC-85E4E9OE
163,United Supply 163,New York,Germany,Distributor,11,3.7,LSC-ZPNIQFG5
164,Blue Supply 164,Charlotte,Vietnam,Manufacturer,21,4.4,LSC-5AHDBVZB
165,Prime Retail Supply 165,Detroit,USA,Manufacturer,9,3.8,LSC-11F9I6UU
166,Quantum Trading 166,Boston,India,Wholesaler,30,2.9,LSC-XHKC856W
167,North Partners 167,Philadelphia,Germany,Distributor,3,4.9,LSC-7Y2LOFN1
168, West Trading 168 ,Atlanta,Japan,Distributor,11,4.6,LSC-FQCOOTNJ
169,Quantum Distributors 169,Detroit,USA,Wholesaler,29,3.4,LSC-T3BNVBC2
170,Metro Industrial 170,Seattle,India,Distributor,29,4.8,LSC-K6HG0016
171,Metro Retail Supply 171,Atlanta,Thailand,Wholesaler,19,3.3,LSC-KQXLM5Q2
172, West Procurement 172 ,Seattle,South Korea,Manufacturer,13,3.3,LSC-B50ATVZK
173,Metro Procurement 173,Atlanta,South Korea,Distributor,14,3.9,LSC-IT7M1R00
174,South Wholesale 174,Denver,Mexico,Manufacturer,7,2.8,LSC-TG698S4C
175,Prime Supply 175,Charlotte,USA,Manufacturer,6,4.6,LSC-IZASNWYW
176,West Industrial 176,New York,China,Wholesaler,2,3.8,LSC-OAZTKSZP
177,Apex Distributors 177,Houston,India,Manufacturer,18,2.9,LSC-GS3JONOU
178,United Logistics 178,Chicago,USA,Distributor,22,5.0,LSC-XBONRWZC
179,North Procurement 179,Nashville,Thailand,Wholesaler,29,4.9,LSC-67I6YUJ7
180,Nova Partners 180,Nashville,South Korea,Manufacturer,23,2.6,LSC-7L8V1ZOC
181,Apex Enterprises 181,Atlanta,Canada,Manufacturer,20,4.6,LSC-O6L1F90S
182,Rapid Supply 182,Houston,China,Manufacturer,15,3.1,LSC-CVWV8LW2
183,South Industrial 183,Atlanta,China,Wholesaler,13,3.9,LSC-NGVN1KIC
184,Nova Wholesale 184,Austin,USA,Wholesaler,-2,4.5,LSC-FOMD7Q1D
185,Vertex Wholesale 185,Charlotte,USA,Manufacturer,16,3.9,LSC-SDDTV25A
186,North Retail Supply 186,Chicago,South Korea,Wholesaler,25,4.8,LSC-69UGNEKR
187,Vertex Wholesale 187,Charlotte,Canada,Manufacturer,10,3.6,LSC-RCJIWVHD
188,Evergreen Supply 188,Austin,Vietnam,Distributor,12,4.6,LSC-N5PP3XVK
189,Metro Industrial 189,San Francisco,China,Manufacturer,7,4.9,LSC-8KZRUIN3
190,Elite Procurement 190,Houston,Vietnam,Wholesaler,20,3.0,LSC-9G1A07H2
191,Vertex Retail Supply 191,Philadelphia,Vietnam,Distributor,6,4.1,LSC-IXZ2C9RO
192,East Retail Supply 192,Columbus,Mexico,Distributor,3,4.5,LSC-M6TWD1XM
193,Prime Enterprises 193,Austin,Germany,Manufacturer,26,3.3,LSC-2DDH0UYH
194, Rapid Retail Supply 194 ,Detroit,Germany,Manufacturer,26,4.2,LSC-YF9RK7D3
195,Summit Procurement 195,Boston,China,Distributor,12,3.6,LSC-HRRPZLK3
196,Blue Supply 196,San Francisco,Thailand,Distributor,22,2.8,LSC-270STLPQ
197,Elite Wholesale 197,Dallas,Thailand,Manufacturer,22,4.1,LSC-O05QPAHK
198,Vertex Enterprises 198,Houston,Canada,Distributor,27,4.7,LSC-GLQJ5SXV
199,Elite Enterprises 199,Houston,Japan,Manufacturer,13,3.4,LSC-QGY27VYL
200,United Logistics 200,HOUSTON,India,Manufacturer,7,3.4,LSC-FNVUPRT7
201,Apex Partners 201,Dallas,Mexico,Wholesaler,17,3.2,LSC-G4W58RHN
202,East Industrial 202,Charlotte,China,Distributor,23,3.7,LSC-ZPGU2HBI
203,Evergreen Wholesale 203,Detroit,Vietnam,Manufacturer,20,4.4,LSC-1TEE13N3
204,Prime Industrial 204,Columbus,Thailand,Wholesaler,8,5.0,LSC-D31K9QM3
205,South Distributors 205,Atlanta,Thailand,Wholesaler,8,4.5,LSC-VMZWFFHH
206,Prime Enterprises 206,Denver,Canada,Manufacturer,19,3.2,LSC-TLZKJ49Y
207,Blue Wholesale 207,Charlotte,India,Wholesaler,3,5.0,LSC-5E5IZ31Y
208,West Wholesale 208,Nashville,Japan,Manufacturer,22,3.2,LSC-OQW5DSK7
209,Rapid Industrial 209,Philadelphia,China,Distributor,12,4.0,LSC-54D8WZ42
210,Elite Trading 210,Charlotte,India,Wholesaler,28,3.0,LSC-J3MUURMY
211,Prime Supply 211,Houston,Thailand,Wholesaler,22,4.5,LSC-QE4PA8HY
212,Summit Logistics 212,Dallas,Thailand,Wholesaler,29,4.8,LSC-JXJN6FOK
213,United Retail Supply 213,Chicago,Germany,Distributor,24,2.7,LSC-HCVSQAME
214,North Wholesale 214,Philadelphia,USA,Distributor,4,3.1,LSC-D3DNKN35
215,Summit Distributors 215,San Jose,Vietnam,Wholesaler,20,2.5,LSC-XP0WFOY4
216,Vertex Distributors 216,Phoenix,Mexico,Wholesaler,26,2.8,LSC-0MP2IXIV
217,Evergreen Supply 217,Boston,Vietnam,Manufacturer,8,3.8,LSC-S0KB68RE
218,West Enterprises 218,Chicago,South Korea,Wholesaler,18,4.7,LSC-AMLN4PTG
219,West Distributors 219,New York,India,Wholesaler,20,2.7,LSC-JBC2SWSO
220,Elite Distributors 220,Columbus,India,Wholesaler,19,4.0,LSC-JLSH3TOW
221,Vertex Logistics 221,Charlotte,USA,Wholesaler,25,4.9,LSC-II7EWBXX
222,Apex Distributors 222,New York,Mexico,Manufacturer,24,2.8,LSC-ARMS3JN0
223,Nova Distributors 223,New York,Vietnam,Wholesaler,12,4.5,LSC-JCZUCQMR
224,Apex Procurement 224,Dallas,USA,Wholesaler,10,4.4,LSC-6YE0A4AB
225, Rapid Retail Supply 225 ,Phoenix,Thailand,Wholesaler,7,4.8,LSC-4T60PLOZ
226,Nova Distributors 226,Nashville,China,Wholesaler,13,2.8,LSC-YBISBO55
227,Evergreen Procurement 227,Chicago,Mexico,Manufacturer,19,3.6,LSC-NK20IN89
228,Metro Partners 228,Atlanta,India,Wholesaler,6,2.5,LSC-OIM458AX
229,Evergreen Distributors 229,Seattle,India,Distributor,18,5.0,LSC-P89FKBI4
230,North Procurement 230,Detroit,Japan,Manufacturer,25,2.7,LSC-DE3CUP8I
231,Nova Procurement 231,Austin,India,Manufacturer,24,4.6,LSC-LQI7E1DD
232,South Industrial 232,San Francisco,Canada,Manufacturer,15,2.8,LSC-M1QQ4D3K
233,Prime Trading 233,San Francisco,Thailand,Manufacturer,6,2.7,LSC-IMSYJ9BO
234,South Partners 234,Columbus,China,Manufacturer,9,2.7,LSC-D2EC2IHO
235,Vertex Enterprises 235,Nashville,China,Manufacturer,10,4.8,LSC-C9HX3D43
236,Blue Supply 236,Detroit,Canada,Distributor,3,2.9,LSC-U3OBYGHG
237,Nova Industrial 237,Phoenix,Thailand,Distributor,3,4.0,LSC-WXR5RDNP
238,East Trading 238,Columbus,China,Distributor,27,2.5,LSC-NZR2MULJ
239,Global Procurement 239,Portland,China,Wholesaler,9,2.6,LSC-3K3QMVIF
240,United Trading 240,Miami,South Korea,Wholesaler,19,4.5,LSC-7C9H42M4
241,Apex Wholesale 241,Atlanta,Thailand,Wholesaler,20,3.3,LSC-0MVZMUF8
242,West Partners 242,Boston,Vietnam,Manufacturer,7,3.7,LSC-DIHSA7HE
243,Apex Procurement 243,Los Angeles,India,Distributor,2,2.9,LSC-ZFDSNCZX
244,Blue Procurement 244,Boston,Mexico,Distributor,12,2.8,LSC-F828XG8Y
245,Rapid Trading 245,Nashville,South Korea,Distributor,28,2.9,LSC-LYE088O9
246,Prime Wholesale 246,Portland,India,Distributor,12,4.8,LSC-8HU7F0I9
247,Apex Distributors 247,San Francisco,Mexico,Distributor,16,2.5,LSC-HYM2ZBPP
248,Apex Retail Supply 248,Philadelphia,Japan,Wholesaler,30,3.4,LSC-TDR5XYFC
249,Prime Logistics 249,New York,Germany,Distributor,12,3.2,LSC-DM5FC79M
250,West Supply 250,Charlotte,South Korea,Distributor,22,,LSC-6FDHGZZ0
251,Nova Logistics 251,Boston,Germany,Distributor,9,2.7,LSC-OTRBAD3W
252,West Trading 252,Houston,USA,Manufacturer,2,3.0,LSC-W9RE2Q6J
253,Elite Wholesale 253,Denver,USA,Manufacturer,30,6.5,LSC-GBPJ4UFZ
254,Blue Distributors 254,Denver,Germany,Distributor,27,,LSC-8VT43PT5
255,West Enterprises 255,Atlanta,Canada,Distributor,17,3.2,LSC-O4BUSU9F
256,South Wholesale 256,Dallas,India,Wholesaler,8,,LSC-EP9P9W4J
257,Vertex Distributors 257,Austin,Canada,Wholesaler,19,3.5,LSC-LJQ52WSP
258,North Wholesale 258,Phoenix,India,Distributor,20,4.0,LSC-177UDKTM
259,North Logistics 259,Austin,China,Manufacturer,22,3.7,LSC-VBJFVYB6
260,Quantum Trading 260,Los Angeles,Mexico,Manufacturer,25,3.7,LSC-JNM2L44Y
261,United Wholesale 261,Boston,USA,Wholesaler,25,3.6,LSC-3JPXGH30
262,East Procurement 262,Los Angeles,Mexico,Distributor,18,4.5,LSC-CZO2SUG5
263,Metro Supply 263,Atlanta,South Korea,Distributor,3,3.6,LSC-7ZJ3SWEB
264,Rapid Industrial 264,Portland,Canada,Wholesaler,16,2.9,LSC-5VMF60YK
265,Elite Supply 265,Dallas,Mexico,Manufacturer,29,3.9,LSC-84XYJOA2
266,Global Industrial 266,Phoenix,Germany,Wholesaler,22,2.9,LSC-2IV7ZZJ6
267,Rapid Industrial 267,Miami,Mexico,Manufacturer,8,3.7,LSC-Y3ODSX4N
268,Evergreen Logistics 268,Houston,USA,Manufacturer,17,2.7,LSC-9X5JZ6KF
269,United Supply 269,Portland,Canada,Distributor,14,4.2,LSC-YZX9JPNB
270,Metro Procurement 270,Atlanta,Thailand,Manufacturer,23,3.8,LSC-26YS445G
271,Blue Industrial 271,PHOENIX,Japan,Distributor,25,3.1,LSC-31GYMDM0
272,Evergreen Retail Supply 272,San Francisco,USA,Wholesaler,13,3.2,LSC-K4Q5V7C6
273,East Distributors 273,Austin,Thailand,Distributor,18,3.2,LSC-B4EHOU6Q
274,Quantum Wholesale 274,Chicago,Canada,Distributor,17,3.3,LSC-9LCQH1UF
275,Vertex Wholesale 275,Portland,Canada,Distributor,15,4.1,LSC-O8NBHNAL
276,East Trading 276,New York,India,Wholesaler,23,2.5,LSC-0I5LDSLC
277,Prime Logistics 277,Boston,China,Distributor,16,4.3,LSC-VM59M6MG
278,Elite Supply 278,Atlanta,USA,Manufacturer,9,4.3,LSC-E0VGNXB5
279,Nova Partners 279,Portland,Thailand,Wholesaler,3,4.0,LSC-BD4BEPEJ
280,Summit Trading 280,New York,Germany,Wholesaler,11,,LSC-DSWZP6SW
281,Evergreen Distributors 281,Houston,Mexico,Manufacturer,17,3.0,LSC-HJSHZKBR
282,Metro Industrial 282,San Francisco,USA,Distributor,9,2.5,LSC-Y64YFDS0
283,Blue Logistics 283,Atlanta,India,Distributor,16,5.0,LSC-KQDGBK2L
284,Blue Distributors 284,Los Angeles,Germany,Wholesaler,2,4.6,LSC-XGMPW5D3
285, Apex Distributors 285 ,Austin,South Korea,Distributor,14,4.9,LSC-JN42X2EZ
286,Prime Wholesale 286,Houston,South Korea,Distributor,15,4.8,LSC-RUPW2W55
287,Summit Industrial 287,Philadelphia,India,Wholesaler,5,4.7,LSC-PCXA5S00
288,United Procurement 288,San Jose,Japan,Wholesaler,18,4.2,LSC-WP0RXXF3
289,Prime Supply 289,Dallas,India,Wholesaler,18,4.6,LSC-45CRI8BI
290,Elite Retail Supply 290,Atlanta,Japan,Manufacturer,4,3.6,LSC-2Q4QERXD
291,North Supply 291,Columbus,Japan,Manufacturer,19,,LSC-DVWKSHY8
292,Rapid Supply 292,Atlanta,Mexico,Distributor,29,3.6,LSC-UWRXZE1H
293,Quantum Procurement 293,Boston,Thailand,Wholesaler,19,3.8,LSC-ZBFFZZDV
294,Metro Distributors 294,Austin,Germany,Manufacturer,8,3.6,LSC-2ZDO74V1
295,South Industrial 295,Nashville,South Korea,Manufacturer,18,2.8,LSC-RTB74RS7
296,Apex Enterprises 296,Dallas,India,Manufacturer,25,4.5,LSC-DXVL5PVY
297,United Logistics 297,Austin,China,Distributor,12,4.9,LSC-QEOZ0KZ4
298,Metro Trading 298,Seattle,South Korea,Manufacturer,21,4.3,LSC-Y7EZ9GTW
299,Blue Procurement 299,Columbus,Thailand,Manufacturer,17,4.0,LSC-7ZY6T5PA
300,Blue Supply 300,Austin,Thailand,Wholesaler,6,2.6,LSC-CJ29YFC2
301,Metro Partners 301,Los Angeles,China,Manufacturer,13,4.5,LSC-D5050UI2
302,Evergreen Supply 302,Austin,Germany,Distributor,14,3.5,LSC-2Y8B0H54
303,South Trading 303,Denver,Vietnam,Manufacturer,26,4.0,LSC-0H0GQ9C8
304,East Distributors 304,Austin,India,Wholesaler,3,3.6,LSC-UEVJLZFF
